Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
colonial_benefits_001;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_002;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_003;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_004;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_005;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_006;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_007;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_008;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_009;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_010;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_011;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_012;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_013;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_014;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_015;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_016;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_017;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_018;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_019;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_020;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_021;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_022;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_023;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_024;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_025;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_026;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_027;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_028;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_029;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_030;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_031;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_032;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_033;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_034;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_035;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_036;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_037;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_038;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_039;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_040;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_041;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_042;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_043;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_044;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_045;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_046;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_047;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_048;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_049;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_050;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_051;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_052;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_053;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_054;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_055;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_056;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_057;Benefits from Colonies;;;;;;;;;;;;;
colonial_benefits_058;Benefits from Colonies;;;;;;;;;;;;;
