Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EIC_absolute_monarchy;The Empire of the East Indies;;;;;;;;;;;;;
EIC_prussian_constitutionalism;The Empire of the East Indies;;;;;;;;;;;;;
EIC_hms_government;The Empire of the East Indies;;;;;;;;;;;;;
EIC_absolute_monarchy_ADJ;Imperial;;;;;;;;;;;;;
EIC_prussian_constitutionalism_ADJ;Imperial;;;;;;;;;;;;;
EIC_hms_government_ADJ;Imperial;;;;;;;;;;;;;
EIC_ADJ;Company;;;;;;;;;;;;;
EIC_reactionary;Court of Directors;;;;;;;;;;;;;
UTI;Territory Exchange;;;;;;;;;;;;;
EVTNAME9990001;Territorial Integration;;;;;;;;;;;;;
EVTDESC9990001;Our recently conquered territory has been fully integrated into our administration.;;;;;;;;;;;;;
EVTDESC9990002;The unfortunate rebellion has left our administration in the gutter in Parliament's mind and a bill has recently passed liquidating the company, they now seek to sieze all of our holdings for the Crown.;;;;;;;;;;;;;
EVTNAME9990003;The Company Refuses;;;;;;;;;;;;;
EVTDESC9990003;The East India Company, run by fools as always has refused to the changing of hands of their holdings, for the good of the common Indian we must remove them by force.;;;;;;;;;;;;;
EVTNAME9990000;The End of the East India Company;;;;;;;;;;;;;
EVTDESC9990004;In the aftermath of the Sepoy Rebellion, under the provisions of the Government of India Act $YEAR$, the British Government nationalised the Company and thus the Crown took over its Indian possessions, its administrative powers and machinery, and its armed forces. The era of Company rule in India has come to an end. \n\n It accomplished a work such as in the whole history of the human race no other trading Company ever attempted, and such as none, surely, is likely to attempt in the years to come. \n\n - The Times;;;;;;;;;;;;;
EVTDESC9990005;The British armies have been sent packing and we are now free to do with India as we see fit, our shareholders have moved to Calcutta and all of our affairs our strictly our own. Our forces have seized all British territory in Asia apart from Australia and New Zealand and all Princely states will be pressured to accept our suzerainty. \n\nThe former Governer-General James Andrew Broun-Ramsay, The Earl of Dalhousie, will be henceforth be crowned as Emperor Ramsay, the Honourable Emperor of the East Indian Empire. This is a glorious day!;;;;;;;;;;;;;
EVTDESC9990007;Recent events in Calcutta have undermined the East India Company's loyalty to the Crown in matters of trade and the British monopoly on Indian goods is in danger, swift action must be taken to mend this.;;;;;;;;;;;;;
EVTNAME9990008;The End of the East India Company;;;;;;;;;;;;;
EVTDESC9990008;Parliament is understandably displeased with our recent change in policy and they now seek to undermine our rights and liquidate the company, clearly it is time for us to reevaluate our loyalties.;;;;;;;;;;;;;
EVTNAME9990009;A New Toy;;;;;;;;;;;;;
EVTDESC9990009;A Ship has arrived in Calcutta today carrying some delightful fruits of British ingenuity, we must put it to use straight away.;;;;;;;;;;;;;
government_of_india_act;The Government of India Act;;;;;;;;;;;;;
government_of_india_act_title;The Government of India Act ($YEAR$);;;;;;;;;;;;;
