Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
D01;East Indian Company;;;;;;;;;;;;;
D02;East Indian Company;;;;;;;;;;;;;
D03;East Indian Company;;;;;;;;;;;;;
D04;East Indian Company;;;;;;;;;;;;;
D05;East Indian Company;;;;;;;;;;;;;
D06;East Indian Company;;;;;;;;;;;;;
D07;East Indian Company;;;;;;;;;;;;;
D08;East Indian Company;;;;;;;;;;;;;
D09;East Indian Company;;;;;;;;;;;;;
D10;East Indian Company;;;;;;;;;;;;;
D11;East Indian Company;;;;;;;;;;;;;
D12;East Indian Company;;;;;;;;;;;;;
D13;East Indian Company;;;;;;;;;;;;;
D14;East Indian Company;;;;;;;;;;;;;
D15;East Indian Company;;;;;;;;;;;;;
D16;East Indian Company;;;;;;;;;;;;;
D17;East Indian Company;;;;;;;;;;;;;
D18;East Indian Company;;;;;;;;;;;;;
D19;East Indian Company;;;;;;;;;;;;;
D20;East Indian Company;;;;;;;;;;;;;
D21;East Indian Company;;;;;;;;;;;;;
D22;East Indian Company;;;;;;;;;;;;;
D23;East Indian Company;;;;;;;;;;;;;
D24;East Indian Company;;;;;;;;;;;;;
D25;East Indian Company;;;;;;;;;;;;;
D26;East Indian Company;;;;;;;;;;;;;
D27;East Indian Company;;;;;;;;;;;;;
D28;East Indian Company;;;;;;;;;;;;;
D29;East Indian Company;;;;;;;;;;;;;
D30;East Indian Company;;;;;;;;;;;;;
D31;East Indian Company;;;;;;;;;;;;;
D32;East Indian Company;;;;;;;;;;;;;
D33;East Indian Company;;;;;;;;;;;;;
D34;East Indian Company;;;;;;;;;;;;;
D35;East Indian Company;;;;;;;;;;;;;
D36;East Indian Company;;;;;;;;;;;;;
D37;East Indian Company;;;;;;;;;;;;;
D38;East Indian Company;;;;;;;;;;;;;
D39;East Indian Company;;;;;;;;;;;;;
D40;East Indian Company;;;;;;;;;;;;;
D41;East Indian Company;;;;;;;;;;;;;
D42;East Indian Company;;;;;;;;;;;;;
D43;East Indian Company;;;;;;;;;;;;;
D44;East Indian Company;;;;;;;;;;;;;
D45;East Indian Company;;;;;;;;;;;;;
D46;East Indian Company;;;;;;;;;;;;;
D47;East Indian Company;;;;;;;;;;;;;
D48;East Indian Company;;;;;;;;;;;;;
D49;East Indian Company;;;;;;;;;;;;;
D50;East Indian Company;;;;;;;;;;;;;
D01_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D02_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D03_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D04_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D05_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D06_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D07_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D08_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D09_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D10_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D11_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D12_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D13_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D14_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D15_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D16_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D17_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D18_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D19_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D20_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D21_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D22_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D23_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D24_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D25_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D26_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D27_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D28_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D29_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D30_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D31_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D32_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D33_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D34_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D35_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D36_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D37_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D38_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D39_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D40_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D41_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D42_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D43_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D44_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D45_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D46_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D47_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D48_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D49_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
D50_ADJ;East Indian;East Indian;East Indian;;East Indian;;;;;;;;;
