Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC100028;We have found ourselves in a very difficult financial situation, it may be necessary to ask our estates for financial support.;;;;;;;;;;;;;
EVTDESC100029;The less influential of our Estates has agreed to support as with additional taxes, however, in return they are demanding limitation of monarch's power.;;;;;;;;;;;;;
EVTDESC100030;Everyone seems to come into an agreement now it is time to fullfill our promises and give them reforms... or maybe we could break our promise and try to doge fulfilling them...;;;;;;;;;;;;;
EVTDESC100031;With our crackdown on reforms the lower Estates, rejected legitimacy of our the official Estates General, and set up their own gathering passing even more reforms! What's worse people start to riot in our capital. Maybe we should crack down on them, or another option is mobilising the military to remind them who is the ruler here.;;;;;;;;;;;;;
EVTDESC100032;Our attempt to bring back order has backfired very badly, not only was the retreating monarch captured by revolutionaries, but some of the army also betrayed us and choose to ally with reformers.;;;;;;;;;;;;;
EVTDESC100033;And the sentenced has been passed, the ruler, who was supposed to be the state, whose right was supposed to come from god, is no longer the omnipotent being he was, and now he shall be executed for treason to his subjects, for now the will of the people is SUPREME!;;;;;;;;;;;;;
EVTDESC100034;With recent events it has become clear that the Radical elements of society has come into power in our country, and now we all are at mercy of their decision, will their rule be benevolent or will they bring the justice through suffering?;;;;;;;;;;;;;
EVTDESC100035;The rule of terror has arrived! Don't worry though, for those who are innocent have noting to fear, only the parasites of this society, the enemies of revolution, the enemies of Liberty, Equality and Brotherhood, are to be exterminated!;;;;;;;;;;;;;
EVTDESC100036;The government has done it's share, but the people demand blood of their own, why not let them bath in it, and cleanse the wounds their oppressors have gave them... Now peasants are killing their 'masters', it is the reign of 'slaves', of those whose birth wasn't 'high' but their deeds to the cause truly are, and this is the true spirit of revolution, and everyone has to do his part!;;;;;;;;;;;;;
EVTDESC100037;It has come the time for you, for you are the enemy of mine, you are the enemy of the people, and you are the enemy of the Revolution, you may think you are not but your thoughts and unconscious actions are telling the truth, I see counter-revolution in your eyes and you would betray me, but it won't happen, for I have seen through you, and you shall perish before you destroy everything I hold dear!;;;;;;;;;;;;;
EVTDESC100038;The dust has settled, the enemies has been executed, and their blood cleansed this country from the sins of the elite, but it is not the end... the enemies are raising their heads, and we have to look beyond, we have to export the revolution! So we can live in a new, beautiful, age where everyone is free and equal, a true Age of Enlightenment!;;;;;;;;;;;;;
EVTDESC100039;Ever since the end of the Terror our government has been unstable and corrupt, but now an opportunity for change has arisen, and ambitious general has staged a coup in capital! People are tired, so tired, they just want to go back to normality, so the decision is, realy, in the generals hands and they will accept whatever he chooses.;;;;;;;;;;;;;
alone_in_bancruptcy;Lack of Estate Taxes;;;;;;;;;;;;;
together_in_bancruptcy;Estates Tax Support;;;;;;;;;;;;;
revolutionary_spirit;Revolutionary Spirit;;;;;;;;;;;;;
levee_en_masse_title;Levee en Masse;;;;;;;;;;;;;
levee_en_masse_desc;Revolution is under siege! It is time to draft the patriotic men in numbers never seen before!;;;;;;;;;;;;;
levee_en_masse_modifier;Levee en Masse;;;;;;;;;;;;;
land_redistribution_title;Land Redistribution;;;;;;;;;;;;;
land_redistribution_desc;Currently the land is in the hand of aristocracy and clergy, in the hands of parasites soaking blood from the people, it is finally time, now that revolution has been secured to deal with this issue!;;;;;;;;;;;;;
radical_land_reform;Communitarian Agriculture;;;;;;;;;;;;;
deal_with_revolutionary_enemies_title;Persecute Enemies of Revolution;;;;;;;;;;;;;
deal_with_revolutionary_enemies_desc;Maybe our rule is secure for now but it is only a matter of time until reactionary forces arise again, we have to deal with them before it is too late!;;;;;;;;;;;;;
rev_terror;Revolutionary Terror;;;;;;;;;;;;;
