manx;Manx;;;;;;;;;;;;;x
gas_attack_capability;Napoleonic Warfere;;;;;;;;;;;;;x
gas_attack_capability_desc;There is no man more pusillanimous than I when I am planning a campaign. I purposely exaggerate all the dangers and all the calamities that the circumstances make possible. I am in a thoroughly painful state of agitation. This does not keep me from looking quite serene in front of my entourage I am like an unmarried girl laboring with child.;;;;;;;;;;;;;x
tractors;Steam-Engine Based Machinery;;;;;;;;;;;;;x
gas_defense_capability;Wellingtionian Defense;;;;;;;;;;;;;x
gas_defense_capability_desc;-Who will attack first tomorrow? I or Bonaparte? \n -Bonaparte. \n-Well, Bonaparte has not given me any idea of his projects, and as my plans will depend on his, how can you expect to tell me what mine are?;;;;;;;;;;;;;x
colonial_fortresses;Improved Colonial Fortifications;
colonial_fortresses_desc;A set of Improvements in the engineering depratment has allowed us to create new fortifications, much stronger and more resilient while better suited to protect low-supplied garrisons.;;;;;;;;;;;;;x
the_dark_continent;Colonial Companys;;;;;;;;;;;;;x
the_dark_continent_desc;The New World for centuries attracted many adventurers eager to explore and make profit in new lands, subsequently many companys were created to rip profits on a more massive scale.;;;;;;;;;;;;;x
gustavian_army_reform;Gustavian Army Reform;;;;;;;;;;;;;x
gustavian_army_reform_desc; ;;;;;;;;;;;;x;
subject_hosts;Subject Hosts;;;;;;;;;;;;;x
subject_hosts_desc; ;;;;;;;;;;;;x;
line_infantry_tactics;Line Infantry Tactics;;;;;;;;;;;;;x
line_infantry_tactics_desc; ;;;;;;;;;;;;x;
regimental_system;Regimental System;;;;;;;;;;;;;x
regimental_system_desc;;x
saleried_soldiers;Saleried Soldiers;;;;;;;;;;;;;x
saleried_soldiers_desc;;x
earthworks;Earthworks;;;;;;;;;;;;;x
earthworks_desc; ;;;;;;;;;;;;x;
mass_infantry;Mass Infantry;;;;;;;;;;;;;x
mass_infantry_desc; ;;;;;;;;;;;;x;
scoarched_earth_policy;Scoarched Earth Policy;;;;;;;;;;;;;x
scoarched_earth_policy_desc; ;;;;;;;;;;;;x;
regimental_mustering;Regimental Mustering;;;;;;;;;;;;;x
regimental_mustering_desc; ;;;;;;;;;;;;x;
goose_step;Goose Step;;;;;;;;;;;;;x
goose_step_desc; ;;;;;;;;;;;;x;
light_infantry_companies;Light Infantry Companies;x
light_infantry_companies_desc; ;;;;;;;;;;;;x;
the_carbine;The Carbine;;;;;;;;;;;;;x
the_carbine_desc; ;;;;;;;;;;;;x;
proffesional_recruitment;Proffesional Recruitment Techniques;;;;;;;;;;;;;x
proffesional_recruitment_desc; ;;;;;;;;;;;;x;
napoleonic_square;Napoleonic Square;x
napoleonic_square_desc; ;;;;;;;;;;;;x;
forging_parties;Forging Parties;;;;;;;;;;;;;x
forging_parties_desc; ;;;;;;;;;;;;x;
on_war;Clauswitz's "On War";;;;;;;;;;;;;x
on_war_desc; ;;;;;;;;;;;;x;
matchlock_musket_armament;Matchlock Musket Armament;;;;;;;;;;;;;x
matchlock_musket_armament_desc; ;;;;;;;;;;;;x;
flintlock_musket_armament;Flintlock Musket Armament;;;;;;;;;;;;;x
flintlock_musket_armament_desc; ;;;;;;;;;;;;x;
engineer_support_companies;Engineer Support Companies;;;;;;;;;;;;;x
engineer_support_companies_desc; ;;;;;;;;;;;;x;
grenade;Grenade;x
grenade_desc; ;;;;;;;;;;;;x;
elite_troops;Elite Troops;x
elite_troops_desc; ;;;;;;;;;;;;x;
socket_bayonet_armnament;Socket Bayonet Armament;;;;;;;;;;;;;x
socket_bayonet_armnament_desc; ;;;;;;;;;;;;x;
new_model_musket_armnament;New Model Musket Armament;;;;;;;;;;;;;x
new_model_musket_armnament_desc; ;;;;;;;;;;;;x;
rifled_guns_armnament;Rifled Guns Armament;;;;;;;;;;;;;x
rifled_guns_armnament_desc; ;;;;;;;;;;;;x;
redesigned_musket_armament;Redesigned Musket Armament;;;;;;;;;;;;;x
redesigned_musket_armament_desc; ;;;;;;;;;;;;x;
early_breach_loaded_muskets_armament;Early Breach Loaded Musket Armament;;;;;;;;;;;;;x
early_breach_loaded_muskets_armament_desc; ;;;;;;;;;;;;x;
cast_bronze_cannons;Cast Bronze Cannons;;;;;;;;;;;;;x
cast_bronze_cannons_desc; ;;;;;;;;;;;;x;
trunnions;Trunnions;;;;;;;;;;;;;x
trunnions_desc; ;;;;;;;;;;;;x;
arching_fire_calculation;Arching Fire Calculation;;;;;;;;;;;;;x
arching_fire_calculation_desc; ;;;;;;;;;;;;x;
artillery_supply_depot;Artillery Supply Depot;;;;;;;;;;;;;x
artillery_supply_depot_desc; ;;;;;;;;;;;;x;
sakers;Sakers;;;;;;;;;;;;;x
sakers_desc; ;;;;;;;;;;;;x;
rocket_artillery;Rocket Artillery;;;;;;;;;;;;;x
rocket_artillery_desc; ;;;;;;;;;;;;x;
royal_mortar;Royal Mortars;;;;;;;;;;;;;x
royal_mortar_desc; ;;;;;;;;;;;;x;
imporved_bombs;Improved Bombs;;;;;;;;;;;;;x
imporved_bombs_desc; ;;;;;;;;;;;;x;
improved_carcasses;Improved Carcasses;;;;;;;;;;;;;x
improved_carcasses_desc; ;;;;;;;;;;;;x;
fine_breed;Fine Breed;;;;;;;;;;;;;x
fine_breed_desc; ;;;;;;;;;;;;x;
cav_upgrade_i;Cavalry Tactics I;;;;;;;;;;;;;x
cav_upgrade_i_desc; ;;;;;;;;;;;;x;
horse_messenging_coordination;Horse Messenging Coordination;;;;;;;;;;;;;x
horse_messenging_coordination_desc; ;;;;;;;;;;;;x;
cav_upgrade_ii;Cavalry Tactics II;;;;;;;;;;;;;x
cav_upgrade_ii_desc; ;;;;;;;;;;;;x;
cav_upgrade_iii;Cavalry Tactics III;;;;;;;;;;;;;x
cav_upgrade_iii_desc; ;;;;;;;;;;;;x;
cav_upgrade_iv;Cavalry Tactics IV;;;;;;;;;;;;;x
cav_upgrade_iv_desc; ;;;;;;;;;;;;x;
mounted_armnament_i;Mounted Armament I;;;;;;;;;;;;;x
mounted_armnament_i_desc; ;;;;;;;;;;;;x;
mounted_armnament_ii;Mounted Armament II;;;;;;;;;;;;;x
mounted_armnament_ii_desc; ;;;;;;;;;;;;x;
mounted_armnament_iii;Mounted Armament III;;;;;;;;;;;;;x
mounted_armnament_iii_desc; ;;;;;;;;;;;;x;
horse_deplition;Fine Breed Crisis;;;;;;;;;;;;;x
horse_deplition_desc; ;;;;;;;;;;;;x;
war_academies;War Academies;;;;;;;;;;;;;x
war_academies_desc; ;;;;;;;;;;;;x;
revolutionary_mass_recruitment;Revolutionary Mass Recruitment;;;;;;;;;;;;;x
revolutionary_mass_recruitment_desc; ;;;;;;;;;;;;x;`
