Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
no_personality;No Personality;;;;;;;;;;;;;
attack_0.1;0 attack;;;;;;;;;;;;;
attack_0.2;0 attack;;;;;;;;;;;;;
attack_0.3;0 attack;;;;;;;;;;;;;
attack_0.4;0 attack;;;;;;;;;;;;;
attack_0.5;0 attack;;;;;;;;;;;;;
attack_0.6;0 attack;;;;;;;;;;;;;
attack_0.7;0 attack;;;;;;;;;;;;;
attack_0.8;0 attack;;;;;;;;;;;;;
attack_0.9;0 attack;;;;;;;;;;;;;
attack_0.10;0 attack;;;;;;;;;;;;;
attack_0.11;0 attack;;;;;;;;;;;;;
attack_0.12;0 attack;;;;;;;;;;;;;
attack_0.13;0 attack;;;;;;;;;;;;;
attack_0.14;0 attack;;;;;;;;;;;;;
attack_0.15;0 attack;;;;;;;;;;;;;
attack_0.16;0 attack;;;;;;;;;;;;;
attack_0.17;0 attack;;;;;;;;;;;;;
attack_0.18;0 attack;;;;;;;;;;;;;
attack_0.19;0 attack;;;;;;;;;;;;;
attack_0.20;0 attack;;;;;;;;;;;;;
attack_0.21;0 attack;;;;;;;;;;;;;
attack_0.22;0 attack;;;;;;;;;;;;;
attack_0.23;0 attack;;;;;;;;;;;;;
attack_0.24;0 attack;;;;;;;;;;;;;
attack_1.1;+1 Attack;;;;;;;;;;;;;
attack_1.2;+1 Attack;;;;;;;;;;;;;
attack_1.3;+1 Attack;;;;;;;;;;;;;
attack_1.4;+1 Attack;;;;;;;;;;;;;
attack_1.5;+1 Attack;;;;;;;;;;;;;
attack_1.6;+1 Attack;;;;;;;;;;;;;
attack_1.7;+1 Attack;;;;;;;;;;;;;
attack_1.8;+1 Attack;;;;;;;;;;;;;
attack_1.9;+1 Attack;;;;;;;;;;;;;
attack_1.10;+1 Attack;;;;;;;;;;;;;
attack_1.11;+1 Attack;;;;;;;;;;;;;
attack_1.12;+1 Attack;;;;;;;;;;;;;
attack_1.13;+1 Attack;;;;;;;;;;;;;
attack_1.14;+1 Attack;;;;;;;;;;;;;
attack_1.15;+1 Attack;;;;;;;;;;;;;
attack_1.16;+1 Attack;;;;;;;;;;;;;
attack_2.1;+2 Attack;;;;;;;;;;;;;
attack_2.2;+2 Attack;;;;;;;;;;;;;
attack_2.3;+2 Attack;;;;;;;;;;;;;
attack_2.4;+2 Attack;;;;;;;;;;;;;
attack_2.5;+2 Attack;;;;;;;;;;;;;
attack_2.6;+2 Attack;;;;;;;;;;;;;
attack_2.7;+2 Attack;;;;;;;;;;;;;
attack_2.8;+2 Attack;;;;;;;;;;;;;
attack_3.1;§B+3 Attack;;;;;;;;;;;;;
attack_3.2;§B+3 Attack;;;;;;;;;;;;;
attack_3.3;§B+3 Attack;;;;;;;;;;;;;
attack_3.4;§B+3 Attack;;;;;;;;;;;;;
attack_4.1;§G+4 Attack;;;;;;;;;;;;;
attack_4.2;§G+4 Attack;;;;;;;;;;;;;
attack_5.1;§O+5 Attack;;;;;;;;;;;;;
defence_0.1;0 Defence;;;;;;;;;;;;;
defence_0.2;0 Defence;;;;;;;;;;;;;
defence_0.3;0 Defence;;;;;;;;;;;;;
defence_0.4;0 Defence;;;;;;;;;;;;;
defence_0.5;0 Defence;;;;;;;;;;;;;
defence_0.6;0 Defence;;;;;;;;;;;;;
defence_0.7;0 Defence;;;;;;;;;;;;;
defence_0.8;0 Defence;;;;;;;;;;;;;
defence_0.9;0 Defence;;;;;;;;;;;;;
defence_0.10;0 Defence;;;;;;;;;;;;;
defence_0.11;0 Defence;;;;;;;;;;;;;
defence_0.12;0 Defence;;;;;;;;;;;;;
defence_0.13;0 Defence;;;;;;;;;;;;;
defence_0.14;0 Defence;;;;;;;;;;;;;
defence_0.15;0 Defence;;;;;;;;;;;;;
defence_0.16;0 Defence;;;;;;;;;;;;;
defence_0.17;0 Defence;;;;;;;;;;;;;
defence_0.18;0 Defence;;;;;;;;;;;;;
defence_0.19;0 Defence;;;;;;;;;;;;;
defence_0.20;0 Defence;;;;;;;;;;;;;
defence_0.21;0 Defence;;;;;;;;;;;;;
defence_0.22;0 Defence;;;;;;;;;;;;;
defence_0.23;0 Defence;;;;;;;;;;;;;
defence_0.24;0 Defence;;;;;;;;;;;;;
defence_1.1;+1 Defence;;;;;;;;;;;;;
defence_1.2;+1 Defence;;;;;;;;;;;;;
defence_1.3;+1 Defence;;;;;;;;;;;;;
defence_1.4;+1 Defence;;;;;;;;;;;;;
defence_1.5;+1 Defence;;;;;;;;;;;;;
defence_1.6;+1 Defence;;;;;;;;;;;;;
defence_1.7;+1 Defence;;;;;;;;;;;;;
defence_1.8;+1 Defence;;;;;;;;;;;;;
defence_1.9;+1 Defence;;;;;;;;;;;;;
defence_1.10;+1 Defence;;;;;;;;;;;;;
defence_1.11;+1 Defence;;;;;;;;;;;;;
defence_1.12;+1 Defence;;;;;;;;;;;;;
defence_1.13;+1 Defence;;;;;;;;;;;;;
defence_1.14;+1 Defence;;;;;;;;;;;;;
defence_1.15;+1 Defence;;;;;;;;;;;;;
defence_1.16;+1 Defence;;;;;;;;;;;;;
defence_2.1;+2 Defence;;;;;;;;;;;;;
defence_2.2;+2 Defence;;;;;;;;;;;;;
defence_2.3;+2 Defence;;;;;;;;;;;;;
defence_2.4;+2 Defence;;;;;;;;;;;;;
defence_2.5;+2 Defence;;;;;;;;;;;;;
defence_2.6;+2 Defence;;;;;;;;;;;;;
defence_2.7;+2 Defence;;;;;;;;;;;;;
defence_2.8;+2 Defence;;;;;;;;;;;;;
defence_3.1;§B+3 Defence;;;;;;;;;;;;;
defence_3.2;§B+3 Defence;;;;;;;;;;;;;
defence_3.3;§B+3 Defence;;;;;;;;;;;;;
defence_3.4;§B+3 Defence;;;;;;;;;;;;;
defence_4.1;§G+4 Defence;;;;;;;;;;;;;
defence_4.2;§G+4 Defence;;;;;;;;;;;;;
defence_5.1;§O+5 Defence;;;;;;;;;;;;;
attack_minus_1.1;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.2;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.3;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.4;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.5;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.6;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.7;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.8;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.9;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.10;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.11;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.12;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.13;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.14;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.15;§R-1 Attack;;;;;;;;;;;;;
attack_minus_1.16;§R-1 Attack;;;;;;;;;;;;;
attack_minus_2.1;§R-2 Attack;;;;;;;;;;;;;
attack_minus_2.2;§R-2 Attack;;;;;;;;;;;;;
attack_minus_2.3;§R-2 Attack;;;;;;;;;;;;;
attack_minus_2.4;§R-2 Attack;;;;;;;;;;;;;
attack_minus_2.5;§R-2 Attack;;;;;;;;;;;;;
attack_minus_2.6;§R-2 Attack;;;;;;;;;;;;;
attack_minus_2.7;§R-2 Attack;;;;;;;;;;;;;
attack_minus_2.8;§R-2 Attack;;;;;;;;;;;;;
attack_minus_3.1;§R-3 Attack;;;;;;;;;;;;;
attack_minus_3.2;§R-3 Attack;;;;;;;;;;;;;
attack_minus_3.3;§R-3 Attack;;;;;;;;;;;;;
attack_minus_3.4;§R-3 Attack;;;;;;;;;;;;;
attack_minus_4.1;§R-4 Attack;;;;;;;;;;;;;
attack_minus_4.2;§R-4 Attack;;;;;;;;;;;;;
attack_minus_5.1;§R-5 Attack;;;;;;;;;;;;;
defence_minus_1.1;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.2;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.3;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.4;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.5;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.6;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.7;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.8;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.9;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.10;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.11;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.12;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.13;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.14;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.15;§R-1 Defence;;;;;;;;;;;;;
defence_minus_1.16;§R-1 Defence;;;;;;;;;;;;;
defence_minus_2.1;§R-2 Defence;;;;;;;;;;;;;
defence_minus_2.2;§R-2 Defence;;;;;;;;;;;;;
defence_minus_2.3;§R-2 Defence;;;;;;;;;;;;;
defence_minus_2.4;§R-2 Defence;;;;;;;;;;;;;
defence_minus_2.5;§R-2 Defence;;;;;;;;;;;;;
defence_minus_2.6;§R-2 Defence;;;;;;;;;;;;;
defence_minus_2.7;§R-2 Defence;;;;;;;;;;;;;
defence_minus_2.8;§R-2 Defence;;;;;;;;;;;;;
defence_minus_3.1;§R-3 Defence;;;;;;;;;;;;;
defence_minus_3.2;§R-3 Defence;;;;;;;;;;;;;
