Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
demand_concession_capital;Demand Capital Concession;;;;;;;;;;;;;
demand_concession_capital_short;Demand $STATE$;;;;;;;;;;;;;
demand_concession_capital_desc;Force an uncivilized country to secede their capital to form a colonial concession.;;;;;;;;;;;;;
demand_concession_capital_setup;Demand that $RECIPIENT$ secede their capital to form a colonial concession.;;;;;;;;;;;;;
place_in_the_sun_for_puppet;Expand Colonial Subject;;;;;;;;;;;;;
place_in_the_sun_for_puppet_short;Demand $STATE$;;;;;;;;;;;;;
place_in_the_sun_for_puppet_desc;Acquire an enemy colonial state for our puppet.;;;;;;;;;;;;;
place_in_the_sun_for_puppet_setup;Demand that $RECIPIENT$ secede their colonial state to our puppet.;;;;;;;;;;;;;
demand_concession_casus_belli_for_puppet;Demand Concession for Colonial Subject;;;;;;;;;;;;;
demand_concession_casus_belli_for_puppet_short;Demand $STATE$;;;;;;;;;;;;;
demand_concession_casus_belli_for_puppet_desc;Force an uncivilized country to give a colonial concession to our puppet.;;;;;;;;;;;;;
demand_concession_casus_belli_for_puppet_setup;Demand that $RECIPIENT$ give a colonial concession to our puppet.;;;;;;;;;;;;;
