Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
RGO_education_0;Local Development 0%;;;;;;;;;;;;;
RGO_education_1;Local Development 10%;;;;;;;;;;;;;
RGO_education_2;Local Development 20%;;;;;;;;;;;;;
RGO_education_3;Local Development 30%;;;;;;;;;;;;;
RGO_education_4;Local Development 40%;;;;;;;;;;;;;
RGO_education_5;Local Development 50%;;;;;;;;;;;;;
RGO_education_6;Local Development 60%;;;;;;;;;;;;;
RGO_education_7;Local Development 70%;;;;;;;;;;;;;
RGO_education_8;Local Development 80%;;;;;;;;;;;;;
RGO_education_9;Local Development 90%;;;;;;;;;;;;;
RGO_education_10;Local Development 100%;;;;;;;;;;;;;
socialist_focus_short;Party loyalty towards §YReformist§! loyalty;Loyautï¾ƒï½© ï¾‚ï½§Ysocialisteï¾‚ï½§!;ï¾‚ï½§YSozialistischeï¾‚ï½§! Loyalitï¾ƒï½¤t;;;;;;;;;;;
communist_focus_short;Party loyalty towards §YRadical§! loyalty;Loyautï¾ƒï½© ï¾‚ï½§Ycommunisteï¾‚ï½§!;ï¾‚ï½§YKommunistischeï¾‚ï½§! Loyalitï¾ƒï½¤t;;;;;;;;;;;
socialist_focus;Party loyalty towards §YReformist§! ;Loyautï¾ƒï½© envers le parti ï¾‚ï½§Ysocialisteï¾‚ï½§! ;Parteiloyalitï¾ƒï½¤t gegenï¾ƒï½¼ber ï¾‚ï½§Ysocialistï¾‚ï½§! ;;;;;;;;;;;
communist_focus;Party loyalty towards §YRadical§! ;Loyautï¾ƒï½© envers le parti ï¾‚ï½§Ycommunisteï¾‚ï½§! ;Parteiloyalitï¾ƒï½¤t gegenï¾ƒï½¼ber ï¾‚ï½§Ycommunistï¾‚ï½§! ;;;;;;;;;;;
reactionary_focus_short;Party loyalty towards §YAbsolutist§! loyalty;Loyautï¾ƒï½© ï¾‚ï½§Ysocialisteï¾‚ï½§!;ï¾‚ï½§YSozialistischeï¾‚ï½§! Loyalitï¾ƒï½¤t;;;;;;;;;;;
reactionary_focus;Party loyalty towards §YAbsolutist§! ;Loyautï¾ƒï½© envers le parti ï¾‚ï½§Ycommunisteï¾‚ï½§! ;Parteiloyalitï¾ƒï½¤t gegenï¾ƒï½¼ber ï¾‚ï½§Ycommunistï¾‚ï½§! ;;;;;;;;;;;
wage_reform;Church;Salaire minimum;Mindestlohn;;Salario m?imo;;;;;;;;;
no_minimum_wage;Very Infl. Church;Aucun salaire minimum;Kein Mindestlohn;;Sin salario m?imo;;;;;;;;;
no_minimum_wage_desc;Very Influential Church.\n§YSlightly §GIncreases §YPOP Conversion Chance§!;Il n'existe pas de salaire minimum.;Kein Mindestniveau f? L?ne.;;No hay salario m?imo;;;;;;;;;
trinket_wage;Influential Church;Salaire min. symbolique;Symbolischer Mindestlohn;;Testimonial;;;;;;;;;
trinket_wage_desc;Influential Church\n§YMarginally §GIncreases §YPOP Conversion Chance§!;Les salaires minimum sont tr? bas.;Die Mindestl?ne sind ??rst niedrig.;;El salario m?imo es muy bajo.;;;;;;;;;
low_minimum_wage;Slightly Infl. Church.;Salaire minimum bas;Niedriger Lohn;;Bajo;;;;;;;;;
low_minimum_wage_desc;Slightly Influential Church.;Les salaires minimum sont bas.;Die Mindestl?ne sind niedrig.;;El salario m?imo es bajo.;;;;;;;;;
acceptable_minimum_wage;Marginally Rel. Church;Salaire min. acceptable;Akzeptabler Lohn;;Aceptable;;;;;;;;;
acceptable_minimum_wage_desc;Marginally Relevant Church.;Les salaires minimum sont acceptables.;Die Mindestl?ne sind f? die meisten akzeptabel.;;El salario m?imo es aceptable para casi todos.;;;;;;;;;
good_minimum_wage;Irrelevant Church;Bon salaire minimum;Guter Mindestlohn;;Bueno;;;;;;;;;
good_minimum_wage_desc;Irrelevant Church Inf.;Les salaires miminum sont sup?ieurs ?la normale.;Die Mindestl?ne sind ?er dem Normalniveau.;;El salario m?imo est?por encima de lo normal.;;;;;;;;;
work_hours;Gentry;Temps de trav. max.;Max. Arbeitszeit;;Jornada laboral m?ima;;;;;;;;;
no_work_hour_limit;Irrelevant Gentry;Journ? de travail illimit?;Unbegrenzt;;Ilimitada;;;;;;;;;
no_work_hour_limit_desc;Irrelevant Gentry.;Aucune limite sur les heures travaill?s par jour.;Es gibt kein Limit f? die t?lichen Arbeitsstunden.;;No hay l?ite a las horas de trabajo.;;;;;;;;;
fourteen_hours;Marginally Rel. Gentry;14 heures par jour;14 Stunden-Tag;;14 horas al d?;;;;;;;;;
fourteen_hours_desc;Marginally Relevant Gentry.;14 heures travaill?s maximum par jour.;Maximal 14 Arbeitsstunden t?lich.;;M?imo de 14 horas de trabajo al d?.;;;;;;;;;
twelve_hours;Slightly Infl. Gentry;12 heures par jour;12 Stunden-Tag;;12 horas al d?;;;;;;;;;
