Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
unite_great_britain_title;Enact The Acts of Union;Enact The Acts of Union;Enact The Acts of Union;Enact The Acts of Union;;;;;;;;;;
unite_great_britain_desc;With the final uniting of the island of Great Britain a new era for her people can begin. Under the stalwart and Protestant leadership of our Queen, we shall know no fear or disunity. The Scottish regiments have already joined the English army and the first imperial profits for Scottish merchants are on their way across the Atlantic. The world has best remember the Union flag, they shall be seeing a great deal more of on every continent. The kingdoms of Scotland and England are figments of the past, consigned to dusty tomes. The future shall be written by the two as one!;With the final uniting of the island of Great Britain a new era for her people can begin. Under the stalwart and Protestant leadership of our Queen, we shall know no fear or disunity. The Scottish regiments have already joined the English army and the first imperial profits for Scottish merchants are on their way across the Atlantic. The world has best remember the Union flag, they shall be seeing a great deal more of on every continent. The kingdoms of Scotland and England are figments of the past, consigned to dusty tomes. The future shall be written by the two as one!;With the final uniting of the island of Great Britain a new era for her people can begin. Under the stalwart and Protestant leadership of our Queen, we shall know no fear or disunity. The Scottish regiments have already joined the English army and the first imperial profits for Scottish merchants are on their way across the Atlantic. The world has best remember the Union flag, they shall be seeing a great deal more of on every continent. The kingdoms of Scotland and England are figments of the past, consigned to dusty tomes. The future shall be written by the two as one!;With the final uniting of the island of Great Britain a new era for her people can begin. Under the stalwart and Protestant leadership of our Queen, we shall know no fear or disunity. The Scottish regiments have already joined the English army and the first imperial profits for Scottish merchants are on their way across the Atlantic. The world has best remember the Union flag, they shall be seeing a great deal more of on every continent. The kingdoms of Scotland and England are figments of the past, consigned to dusty tomes. The future shall be written by the two as one!;;;;;;;;;;
claim_swedish_pomerania_title;Claim Swedish Pomerania;Claim Swedish Pomerania;Claim Swedish Pomerania;Claim Swedish Pomerania;;;;;;;;;;
claim_silesia_title;Claim Silesia;Claim Silesia;Claim Silesia;Claim Silesia;;;;;;;;;;
construct_st_petersburg_title;Construct St.Petersburg;Construct St.Petersburg;Construct St.Petersburg;Construct St.Petersburg;;;;;;;;;;
construct_st_petersburg_desc;Upon the capture of the fortress Kantsy, the Council of War had gathered to decide whether to further strengthen that redoubt or to look for another, more convenient place for the fortress (because the above-mentioned Kantsy was too small, too far from the sea and not conveniently protected by its natural surroundings). The Council resolved to look for a new place. Several days later, such an appropriate place was found, an island named Lust Elant (Pleasure Island), and on May 16, 1703 (Pentecost Sunday) the fortress was established there and was named St. Petersburg.;Upon the capture of the fortress Kantsy, the Council of War had gathered to decide whether to further strengthen that redoubt or to look for another, more convenient place for the fortress (because the above-mentioned Kantsy was too small, too far from the sea and not conveniently protected by its natural surroundings). The Council resolved to look for a new place. Several days later, such an appropriate place was found, an island named Lust Elant (Pleasure Island), and on May 16, 1703 (Pentecost Sunday) the fortress was established there and was named St. Petersburg.;Upon the capture of the fortress Kantsy, the Council of War had gathered to decide whether to further strengthen that redoubt or to look for another, more convenient place for the fortress (because the above-mentioned Kantsy was too small, too far from the sea and not conveniently protected by its natural surroundings). The Council resolved to look for a new place. Several days later, such an appropriate place was found, an island named Lust Elant (Pleasure Island), and on May 16, 1703 (Pentecost Sunday) the fortress was established there and was named St. Petersburg.;Upon the capture of the fortress Kantsy, the Council of War had gathered to decide whether to further strengthen that redoubt or to look for another, more convenient place for the fortress (because the above-mentioned Kantsy was too small, too far from the sea and not conveniently protected by its natural surroundings). The Council resolved to look for a new place. Several days later, such an appropriate place was found, an island named Lust Elant (Pleasure Island), and on May 16, 1703 (Pentecost Sunday) the fortress was established there and was named St. Petersburg.;;;;;;;;;;
claim_the_baltics_title;Claim The Northern Ports;Claim The Northern Ports;Claim The Northern Ports;Claim The Northern Ports;;;;;;;;;;
may_constitution_title;Enact a New Constitution!;Enact a New Constitution!;Enact a New Constitution!;Enact a New Constitution!;;;;;;;;;;
may_constitution_desc;Recognizing that the destiny of us all depends solely upon the establishment and perfection of a national Constitution, having by long experience learned the inveterate faults of our government, and desiring to take advantage of the season in which Europe finds itself and of this fleeting moment that has restored us to ourselves, free of the ignominious dictates of foreign coercion, holding dearer than life, than personal happiness, the political existence, external independence, and internal liberty of the people whose destiny is entrusted to our hands, desiring as well to merit the blessing and gratitude of contemporary and future generations, despite obstacles that may cause passion in us, do for the general welfare, for the establishment of liberty, for the preservation of our country and its borders, with the utmost constancy of spirit ordain the present Constitution and declare it to be entirely sacred and inviolable until the people, at the time by law prescribed, and by their clear will recognise a need to alter it in any of its articles. To which Constitution the further statutes of the present Sejm shall apply in everything.;Recognising that the destiny of us all depends solely upon the establishment and perfection of a national Constitution, having by long experience learned the inveterate faults of our government, and desiring to take advantage of the season in which Europe finds itself and of this fleeting moment that has restored us to ourselves, free of the ignominious dictates of foreign coercion, holding dearer than life, than personal happiness, the political existence, external independence, and internal liberty of the people whose destiny is entrusted to our hands, desiring as well to merit the blessing and gratitude of contemporary and future generations, despite obstacles that may cause passion in us, do for the general welfare, for the establishment of liberty, for the preservation of our country and its borders, with the utmost constancy of spirit ordain the present Constitution and declare it to be entirely sacred and inviolable until the people, at the time by law prescribed, and by their clear will recognise a need to alter it in any of its articles. To which Constitution the further statutes of the present Sejm shall apply in everything.;Recognising that the destiny of us all depends solely upon the establishment and perfection of a national Constitution, having by long experience learned the inveterate faults of our government, and desiring to take advantage of the season in which Europe finds itself and of this fleeting moment that has restored us to ourselves, free of the ignominious dictates of foreign coercion, holding dearer than life, than personal happiness, the political existence, external independence, and internal liberty of the people whose destiny is entrusted to our hands, desiring as well to merit the blessing and gratitude of contemporary and future generations, despite obstacles that may cause passion in us, do for the general welfare, for the establishment of liberty, for the preservation of our country and its borders, with the utmost constancy of spirit ordain the present Constitution and declare it to be entirely sacred and inviolable until the people, at the time by law prescribed, and by their clear will recognise a need to alter it in any of its articles. To which Constitution the further statutes of the present Sejm shall apply in everything.;Recognising that the destiny of us all depends solely upon the establishment and perfection of a national Constitution, having by long experience learned the inveterate faults of our government, and desiring to take advantage of the season in which Europe finds itself and of this fleeting moment that has restored us to ourselves, free of the ignominious dictates of foreign coercion, holding dearer than life, than personal happiness, the political existence, external independence, and internal liberty of the people whose destiny is entrusted to our hands, desiring as well to merit the blessing and gratitude of contemporary and future generations, despite obstacles that may cause passion in us, do for the general welfare, for the establishment of liberty, for the preservation of our country and its borders, with the utmost constancy of spirit ordain the present Constitution and declare it to be entirely sacred and inviolable until the people, at the time by law prescribed, and by their clear will recognise a need to alter it in any of its articles. To which Constitution the further statutes of the present Sejm shall apply in everything.;;;;;;;;;;
elective_monarchy;Elective Monarchy;Elective Monarchy;Elective Monarchy;Elective Monarchy;;;;;;;;;;
