Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
welsh;Welsh;;;;;;;;;;;;;
scottish;Scottish;;;;;;;;;;;;;
galician;Galician;;;;;;;;;;;;;
volga_german;Eastern German;;;;;;;;;;;;;
arpitan;Arpitan;;;;;;;;;;;;;
hanhui;Hui;;;;;;;;;;;;;
siebenburger;Siebenbürger;;;;;;;;;;;;;
anglo_canadian;Anglo-Canadian;Anglo-canadien;Anglokanadisch;;Anglocanadiense;;;;;;;;;
french_canadian;French-Canadien;Franco-canadien;Frankokanadisch;;Franco-canadiense;;;;;;;;;
anglo_indian;Anglo-Indian;;;;;;;;;;;;;
british;English;;;;;;;;;;;;;
pan_french_nationalism;Pan-French Nationalism;;;;;;;;;;;;;
dayak;Dajak;Dayak;Dayak;;Dayak;;;;;;;;;
mulatto;Mulatto;;;;;;;;;;;;;
ethiopian;Ethiopian;;;;;;;;;;;;;
eastern_bantu;Eastern Bantu;;;;;;;;;;;;;
central_bantu;Central Bantu;;;;;;;;;;;;;
nigerian;Nigerian Group;;;;;;;;;;;;;
western_african;Western African;;;;;;;;;;;;;
vassal_interactions_title;Open Vassal Interactions Menu;;;;;;;;;;;;;
vassal_interactions_desc;This decision fires an event which will allow you to free or return cores to your vassals.;;;;;;;;;;;;;
