Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
steamer_shipyard_construction;Steamer Shipyards;;;;;;;;;;;;;
steamer_shipyard_construction_desc;Building steam ships is no easy task, thus we need to first design a shipyard of the appropriate size to begin construction.;;;;;;;;;;;;;
clipper_shipyard_construction;Clipper Shipyards;;;;;;;;;;;;;
clipper_shipyard_construction_desc;Building huge ships such as the Man'o'War is no easy task, thus we need to first design a shipyard of the appropriate size to begin construction.;;;;;;;;;;;;;
western_shipyards;Shipyards;;;;;;;;;;;;;
western_shipyards_l;Shipyards;;;;;;;;;;;;;
no_western_shipyards;Traditional Shipyards;;;;;;;;;;;;;
no_western_shipyards_l;Traditional Shipyards;;;;;;;;;;;;;
no_western_shipyards_desc;Our shipyards are built according to our old traditions.;;;;;;;;;;;;;
yes_western_shipyards;Western Shipyards;;;;;;;;;;;;;
yes_western_shipyards_l;Western Shipyards;;;;;;;;;;;;;
yes_western_shipyards_desc;Our shipyards are built by foreign experts, allowing for the construction of ships of a much higher tonnage.;;;;;;;;;;;;;
old_style_family_business_desc;This style of business culture meant that the owners treated the business as a family shop or restaurant. The border between private and business was very unclear. The practice became very emotional and the owners would take much larger risks for their business, but at the cost of professionalism.;;;;;;;;;;;;;
switch_to_traditional_academic_title;Renovate The Academia;;;;;;;;;;;;;
switch_to_traditional_academic_desc;Many within our academic circles feel that the present direction of our academia is misguided and that we should adopt a more traditional academic profile.;;;;;;;;;;;;;
naval_tech_school;Sea Power & The Merchant Marine;;;;;;;;;;;;;
switch_to_navy_tech_title;Sea Power & The Merchant Marine;;;;;;;;;;;;;
unciv_tech_school;Developing Academia;;;;;;;;;;;;;
genetics_heredity;Genetics: Heredity;;;;;;;;;;;;;
genetics_heredity_desc;Heredity Genetics were a major step towards the understanding of life itself. Gregor Mendel (1822-84) assumed that every trait an organism contains is written down in some material factors and are transferred during the process of reproduction. In experiments with his pea plants he could prove his thesis.;;;;;;;;;;;;;
vintner;Vintner Guild;;;;;;;;;;;;;
vintner_desc;Vintner or wine dealers allow us to set some standard in winemaking. By letting the market decides, our wine quality is sure to increase.;;;;;;;;;;;;;
furriers;Furriers Guild;;;;;;;;;;;;;
furriers_desc;Fur has long been in use since prehistoric times. With the opening of new markets in North America, fur trading flourished in the 18th century, together with the art and craft of furriers.;;;;;;;;;;;;;
bottling_process;Bottling Process;;;;;;;;;;;;;
bottling_process_desc;Modern bottling techniques for efficient and proper bottling and distribution of alcohol are needed for the future of the beverages industry.;;;;;;;;;;;;;
schrapnel_standard_design;Schrapnel Standard Design;;;;;;;;;;;;;
