Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
form_iberia_desc;In order to better manage the Iberian peninsula, we will unify the nations of Spain and Portugal into one Iberian Union. Although such a drastic change in administation will result in chaos in the Spanish and Portugese colonial empire.;;;;;;;;;;;;;
macau_transfer_title;Transfer Macau into $COUNTRY_ADJ$ Control;;;;;;;;;;;;;
macau_transfer_desc;In several ports,like Macau, local garrisons and saliors were able to preserve order during the colonial upheaval that followed the creation of the Iberian state. While most ports have been transfered to $COUNTRY_ADJ$ control, Macau has yet been properly transfered to the proper authorities.;;;;;;;;;;;;;
outside_form_italy_title;Create Italy;;;;;;;;;;;;;
outside_form_italy_desc;Although our country has a monopoly on Italian affairs, it would perhaps be easier for us to have one strong ally instead of seven or even nine weaker puppets.;;;;;;;;;;;;;
outside_italia_irredenta_title;Strengthen our Italian allies;;;;;;;;;;;;;
outside_italia_irredenta_desc;Italy's new claims do not conflict with our territorial interests. As a show of good faith, let us hand over any province of ours that lies within their claims.;;;;;;;;;;;;;
austrian_outside_italy_title;Organize Italy Under Strict Austrian Supervision.;;;;;;;;;;;;;
austrian_outside_italy_desc;As Metternich said, "Italy is a geographical expression." That being said, its an expression of strategic importance to $COUNTRY$. With the peninsula under our thumb, it might be time to reorganize the duchies and republics of Italy into more manageable kingdoms. We will also be able to cement our authority over Venice.;;;;;;;;;;;;;
EVTDESC72758;The Austrians have recently been drawing lines in Italy, and have with no justificaiton or legal claim included Corsica in the domain of Sardinia.;;;;;;;;;;;;;
EVTDESC72757;It would seem that our supervision was not as strict as planned. During the redrawning of Italian borders, the finialized map of the new Italian vassals included the island of Corisca within the territorial bounders of Sardinia. While this detail went unnoticed by $COUNTRY_ADJ$ officials, it has grabbed the attention of the French. Infurated, France has demanded an immediate explanation followed by an apology from $COUNTRY$ over the actions of their vassal. Some believe that $COUNTRY$ should apologize and scold Sardinia. The island's stupidity may very well lead to war. Others believe Vienna should stand by its vassals no matter the circumstances.;;;;;;;;;;;;;
FRA_SRD_claim_rebuke_title;Rebuke Sardinian Claims on Corsica.;;;;;;;;;;;;;
FRA_SRD_claim_rebuke_desc;After defeating the Sardinians in the latest war, France may finially correct the Sardinian Border Blunder caused by the Austrian imbeciles.;;;;;;;;;;;;;
