Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
welsh;Welsh;;;;;;;;;;;;;
scottish;Scottish;;;;;;;;;;;;;
galician;Galician;;;;;;;;;;;;;
volga_german;Eastern German;;;;;;;;;;;;;
arpitan;Arpitan;;;;;;;;;;;;;
hanhui;Hui;;;;;;;;;;;;;
siebenburger;Siebenbürger;;;;;;;;;;;;;
anglo_canadian;Anglo-Canadian;Anglo-canadien;Anglokanadisch;;Anglocanadiense;;;;;;;;;
french_canadian;French-Canadien;Franco-canadien;Frankokanadisch;;Franco-canadiense;;;;;;;;;
anglo_indian;Anglo-Indian;;;;;;;;;;;;;
british;English;;;;;;;;;;;;;
pan_french_nationalism;Pan-French Nationalism;;;;;;;;;;;;;
dayak;Dajak;Dayak;Dayak;;Dayak;;;;;;;;;
mulatto;Mulatto;;;;;;;;;;;;;
ethiopian;Ethiopian;;;;;;;;;;;;;
eastern_bantu;Eastern Bantu;;;;;;;;;;;;;
central_bantu;Central Bantu;;;;;;;;;;;;;
nigerian;Nigerian Group;;;;;;;;;;;;;
western_african;Western African;;;;;;;;;;;;;
vassal_interactions_title;Open Vassal Interactions Menu;;;;;;;;;;;;;
vassal_interactions_desc;This decision fires an event which will allow you to free or return cores to your vassals.;;;;;;;;;;;;;
show_aoe_options_menu_title;Show AoE Options;;;;;;;;;;;;;
show_aoe_options_menu_desc;Shows the extra decisions.;;;;;;;;;;;;;
hide_aoe_options_menu_title;Hide AoE Options;;;;;;;;;;;;;
hide_aoe_options_menu_desc;Hides the extra decisions to reduce clutter.;;;;;;;;;;;;;
show_tech_school_menu_title;Show Tech School Decisions;;;;;;;;;;;;;
show_tech_school_menu_desc;Shows decisions to change your tech school.;;;;;;;;;;;;;
hide_tech_school_menu_title;Hide Tech School Decisions;;;;;;;;;;;;;
hide_tech_school_menu_desc;Hides the tech school decisions to reduce clutter.;;;;;;;;;;;;;
acquire_core_substate_region;Acquire core substate region;;;;;;;;;;;;;
acquire_core_substate_region_desc;Acquire one of your core regions from enemy §Ysubstate§W;;;;;;;;;;;;;
acquire_core_substate_region_short;Acquire $STATE$;;;;;;;;;;;;;
acquire_core_substate_region_setup;Acquire your core, $STATE$, from $RECIPIENT$;;;;;;;;;;;;;
