Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
cornish;Cornish;;;;;;;;;;;;;
arvanite;Arvanite;;;;;;;;;;;;;
buryat;Buryat;;;;;;;;;;;;;
khorchin;Khorchin;;;;;;;;;;;;;
bashkir;Bashkir;;;;;;;;;;;;;
banjarnese;Banjarese;;;;;;;;;;;;;
javan;Javanese;;;;;;;;;;;;;
sundanese;Sundanese;;;;;;;;;;;;;
madurese;Madurese;;;;;;;;;;;;;
balinese;Balinese;;;;;;;;;;;;;
sasak;Sasak;;;;;;;;;;;;;
iban;Iban;;;;;;;;;;;;;
kadazandusun;Kadazandusun;;;;;;;;;;;;;
samah;Samah;;;;;;;;;;;;;
murut;Murut;;;;;;;;;;;;;
bidayuh;Bidayuh;;;;;;;;;;;;;
orang_ulu;Orang Ulu;;;;;;;;;;;;;
melanau;Melanau;;;;;;;;;;;;;
sumbawarese;Sumbawarese;;;;;;;;;;;;;
aragonese;Aragonese;;;;;;;;;;;;;
friulian;Friulian;;;;;;;;;;;;;
ladin;Ladin;;;;;;;;;;;;;
acehnese;Acehnese;;;;;;;;;;;;;
batak;Batak;;;;;;;;;;;;;
minangkabau;Minangkabau;;;;;;;;;;;;;
bantenese;Bantenese;;;;;;;;;;;;;
spanish_american;Spanish-American;;;;;;;;;;;;;
bantu;Bantu;;;;;;;;;;;;
khoikhoi;Khoikhoi;;;;;;;;;;;;
volta;Volta-Niger;;;;;;;;;;;;
sinitic;Southern Sinitic;;;;;;;;;;;;
bantoid;Bantoid;;;;;;;;;;;;;
siberian_tatar;Siberian Tatar;;;;;;;;;;;;;
