Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
rename_the_falklands_argentina_title;The Malvinas Renaming Act;;;;;;;;;;;;;
rename_the_falklands_argentina_desc;Now that we hold what the English used to call "Falklands", it's time to rename it to something more in line with it's rightful owners. Let the Falklands Islands from now on be known as "Islas Malvinas".;;;;;;;;;;;;;
rename_the_falklands_england_title;The Falklands Renaming Act;;;;;;;;;;;;;
rename_the_falklands_england_desc;Now that we recaptured what the Argentinians call "Malvinas", it's time to rename it to something more in line with it's rightful owners. Let the Malvinas Islands from now on be known as "Falkland Islands".;;;;;;;;;;;;;
rhodesia_renaminc_act_title;The Rhodesia Renaming Act;;;;;;;;;;;;;
rhodesia_renaminc_act_desc;Now that Mashonaland is firmly in our hands, it would only be appropriate we rename the region something more civilized.;;;;;;;;;;;;;
support_january_uprising_title;Support the January Uprising;;;;;;;;;;;;;
support_january_uprising_desc;After Martial Law was declared, those designated for conscription secretly fled from Warsaw (Jan. 14–15, 1863), sought refuge in the nearby woodlands, and on January 22 issued a manifesto calling for a national insurrection. Although they were greatly outnumbered, poorly equipped, and successful in only a few engagements, the rebels gained support among the artisan, worker, lower gentry, and official classes in the cities and stimulated peasant revolts against the large landlords in rural areas. We could support this uprising against the Russians.;;;;;;;;;;;;;
treaty_of_tartu_EST_title;The Tartu Peace Treaty;;;;;;;;;;;;;
treaty_of_tartu_EST_desc;Treaty of Tartu was a peace treaty between Estonia and Russian SFSR signed on February 2, 1920 ending the Estonian War of Independence. The terms of the treaty stated that "Russia unreservedly recognizes" the independence of Republic of Estonia de jure and renounced in perpetuity all rights to the territory of Estonia. Ratifications of the treaty were exchanged in Moscow on March 30, 1920. It was registered in League of Nations Treaty Series on July 12, 1922.;;;;;;;;;;;;;
establish_the_sovnarkomSOV_title;Establish The Sovnarkom;;;;;;;;;;;;;
establish_the_sovnarkomSOV_desc;Soviet Narodnykh Kommissarov', transliterated Russian for 'Council of People's Commissars', was the highest government authority in Soviet Russia, per functions delineated in the 1918 Constitution of the RSFSR. The Sovnarkom was (formally) responsible to the Congress of the Soviets and had, when said Congress was out of session, the power to issue decrees carrying the full force of law.;;;;;;;;;;;;;
russian_vladivostokSOV_title;The Ruler of the East;;;;;;;;;;;;;
russian_vladivostokSOV_desc;In July of 1860 the port of Vladivostok, or “Ruler of the East,” was founded near the Korean frontier.  It would become a major Russian trade port and shipbuilding yard. Eventually, it would become the focal point of an intercontinental railroad as well as a major scientific, cultural, and industrial center in its own right. The Czar dreamed that the city would become a hub connecting the west with the east. Perhaps the railroad to Vladivostok will eventually replace the Suez Canal as the bearer of goods and raw materials between the East and the West?;;;;;;;;;;;;;
treaty_of_tartuSOV_title;Treaty of Tartu;;;;;;;;;;;;;
treaty_of_tartuSOV_desc;Now that we are free from Russian rule, we should approach the Russian government and discuss the claims to Petsamo and southern Karelia before we end up in a territorial war we cannot hope to win.;;;;;;;;;;;;;
finnish_diet;The Finnish Diet;;;;;;;;;;;;;
finnish_diet_title;The Finnish Diet;;;;;;;;;;;;;
finnish_diet_short;The Finnish Diet;;;;;;;;;;;;;
finnish_diet_setup;The Finnish Diet;;;;;;;;;;;;;
finnish_diet_desc;Not until June 1863, after the Crimean War had taken place, did Alexander II call the Finnish Diet again. On September 18 the opening ceremony was held and the Emperor made his declaration where he promised to introduce changes to the constitution. The changes included making the diet a regularly convening body, a promise which was kept by the Emperor when the diet convened again in January 1867. The result was greater Finnish Autonomy within the Russian Empire and a improvement in the relations of the Finnish Parliament and the Tsar.;;;;;;;;;;;;;
switch_to_early_russian_tech;Orthodoxy, Autocracy and Nationality!;;;;;;;;;;;;;
