Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AIN;Ainu;;;;;;;;;;;;;
AIN_ADJ;Ainu;;;;;;;;;;;;;
AIN_absolute_monarchy;Ainu Mosir;;;;;;;;;;;;;
AIN_conservative;Conservatist Faction;;;;;;;;;;;;;
AIN_liberal;Reformist Faction;;;;;;;;;;;;;
AIN_socialist;Progressive Faction;;;;;;;;;;;;;
AIN_communist;Communist Faction;;;;;;;;;;;;;
AIN_reactionary;Nationalist Faction;;;;;;;;;;;;;
AIN_anarcho_liberal;Radical Faction;;;;;;;;;;;;;
AIN_fascist;Fascist faction;;;;;;;;;;;;;
BIM;Bima;;;;;;;;;;;;;
BIM_ADJ;Bima;;;;;;;;;;;;;
BMK;Mali;;;;;;;;;;;;;
BMK_ADJ;Malian;;;;;;;;;;;;;
CEQ;Equador Confederation;;;;;;;;;;;;;
CEQ_french_bourbon;Quilombola;;;;;;;;;;;;;
CEQ_ADJ;Nordestino;;;;;;;;;;;;;
CEQ_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;
CEQ_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;
CEQ_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;;;;;
CEQ_conservative_2;Partido Paulista;Partido Paulista;Partido Paulista;;;;;;;;;;;
CEQ_liberal_2;Partido Carioca;Partido Carioca;Partido Carioca;;;;;;;;;;;
CEQ_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
CEQ_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;
CEQ_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;
CEQ_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;
CPL_absolute_monarchy;Duchy Of Warsaw;;;;;;;;;;;;;
CPL_prussian_constitutionalism;Duchy Of Warsaw;;;;;;;;;;;;;
CPL_hms_government;Poland;;;;;;;;;;;;;
CPL_colonial_government;Congress Poland;;;;;;;;;;;;;
CPL_dominion;Congress Poland;;;;;;;;;;;;;
CPL_proletarian_dictatorship;Duchy Of Warsaw;;;;;;;;;;;;;
CPL_fascist_dictatorship;Duchy Of Warsaw;;;;;;;;;;;;;
IBR_french_bourbon;The Iberian Worker's Union;;;;;;;;;;;;;
IBR_presidential_dictatorship;The Iberian Union;;;;;;;;;;;;;
IBR_bourgeois_dictatorship;The Iberian Union;;;;;;;;;;;;;
IBR_democracy;The Iberian Federation;;;;;;;;;;;;;
IBR_absolute_monarchy;The Iberian Empire;;;;;;;;;;;;;
IBR_prussian_constitutionalism;The Iberian Empire;;;;;;;;;;;;;
IBR_hms_government;The Iberian Empire;;;;;;;;;;;;;
ISL;Islamic Caliphate;;;;;;;;;;;;;
ISL_ADJ;Islamic;;;;;;;;;;;;;
ISL_french_bourbon;Islamic People's Republic;;;;;;;;;;;;;
ISL_presidential_dictatorship;Islamic Republic;;;;;;;;;;;;;
ISL_bourgeois_dictatorship;Islamic Republic;;;;;;;;;;;;;
ISL_democracy;Islamic Republic;;;;;;;;;;;;;
ISL_liberal;Islamic Liberal faction;Liberal Faction;Liberal Faction;;Liberal Faction;;;;;;;;;
ISL_conservative;Islamic Conservative Faction;Conservative Faction;;Conservative Faction;;;;;;;;;;
ISL_reactionary;Islamic Fundamentalist Faction;Monarchist Faction;Monarchist Faction;;Monarchist Faction;;;;;;;;;
ISL_socialist;Socialist Faction;Labour Faction;Labour Faction;;Labour Faction;;;;;;;;;
ISL_anarcho_liberals;Anarchist Faction;Anarchist Faction;Anarchist Faction;;Anarchist Faction;;;;;;;;;
ISL_communist;Communist Faction;Communist Faction;Communist Faction;;Communist Faction;;;;;;;;;
ISL_fascist;Mujahideen Faction;Norman Faction;Norman Faction;;Norman Faction;;;;;;;;;
LEO;Leon;;;;;;;;;;;;;
LEO_ADJ;Leonese;;;;;;;;;;;;;
LEO_conservative;Partido Moderado;;;;;;;;;;;;;
LEO_liberal;Partido Progresista;;;;;;;;;;;;;
LEO_reactionary;Comuni¢n Carlista;;;;;;;;;;;;;
LEO_socialist;Partido Socialista;;;;;;;;;;;;;
LEO_communist;Federaci¢n Regional;;;;;;;;;;;;;
LEO_anarcho_liberal;Partido Radical;;;;;;;;;;;;;
LEO_fascist;Falange;;;;;;;;;;;;;
LXA_ADJ;Lan Xangi;lan xang;Lan Xangi;Lan Xang;de Lane Xang;Lan Xang;Lan Xangi;Lanxangijský;;;;;;
PAP_ADJ__bourgeois_dictatorship;Roman;;;;;;;;;;;;;
RGR_french_bourbon;Rio Bravo;;;;;;;;;;;;;
SYC;Sicily;;;;;;;;;;;;;
SYC_ADJ;Sicilian;;;;;;;;;;;;;
TUR_presidential_dictatorship;Turkey;;;;;;;;;;;;;
TUR_presidential_dictatorship_ADJ;Turkish;;;;;;;;;;;;;
TUR_bourgeois_dictatorship_ADJ;Turkish;;;;;;;;;;;;;
USA_presidential_dictatorship;The United States of America;;;;;;;;;;;;;
