Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
demand_concession_capital;Demand Capital Concession;;;;;;;;;;;;;
demand_concession_capital_short;Demand $STATE$;;;;;;;;;;;;;
demand_concession_capital_desc;Force an uncivilized country to secede their capital to form a colonial concession.;;;;;;;;;;;;;
demand_concession_capital_setup;Demand that $RECIPIENT$ secede their capital to form a colonial concession.;;;;;;;;;;;;;
place_in_the_sun_for_puppet;Expand Colonial Subject;;;;;;;;;;;;;
place_in_the_sun_for_puppet_short;Demand $STATE$;;;;;;;;;;;;;
place_in_the_sun_for_puppet_desc;Acquire an enemy colonial state for our puppet.;;;;;;;;;;;;;
place_in_the_sun_for_puppet_setup;Demand that $RECIPIENT$ secede their colonial state to our puppet.;;;;;;;;;;;;;
demand_concession_casus_belli_for_puppet;Demand Concession for Colonial Subject;;;;;;;;;;;;;
demand_concession_casus_belli_for_puppet_short;Demand $STATE$;;;;;;;;;;;;;
demand_concession_casus_belli_for_puppet_desc;Force an uncivilized country to give a colonial concession to our puppet.;;;;;;;;;;;;;
demand_concession_casus_belli_for_puppet_setup;Demand that $RECIPIENT$ give a colonial concession to our puppet.;;;;;;;;;;;;;
demand_concession_china;Demand Concession;;;;;;;;;;;;;
demand_concession_china_desc;Force an 即uncivilized country劬 to secede territory to form a colonial concession.;;;;;;;;;;;;;
demand_concession_china_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;;;;;;;;;;;;;
demand_concession_china_short;Demand $STATE$;;;;;;;;;;;;;
demand_concession_capital_china;Demand Capital Concession;;;;;;;;;;;;;
demand_concession_capital_china_desc;Force an 即uncivilized country劬 to secede their capital to form a colonial concession.;;;;;;;;;;;;;
demand_concession_capital_china_setup;Demand that $RECIPIENT$ secede their capital to form a colonial concession.;;;;;;;;;;;;;
demand_concession_capital_china_short;Demand $STATE$;;;;;;;;;;;;;
acquire_state_china;Acquire State China;;;;;;;;;;;;;
acquire_state_china_desc;Force an 即country劬 to secede a state.;;;;;;;;;;;;;
acquire_state_china_setup;Demand that $RECIPIENT$ secede a state.;;;;;;;;;;;;;
acquire_state_china_short;Demand $STATE$;;;;;;;;;;;;;
take_capital_china;Acquire Capital China;;;;;;;;;;;;;
take_capital_china_desc;Force an 即country劬 to secede their capital.;;;;;;;;;;;;;
take_capital_china_setup;Demand that $RECIPIENT$ secede their capital.;;;;;;;;;;;;;
take_capital_china_short;Demand $STATE$;;;;;;;;;;;;;
demand_concession_japan;Demand Japanese Concession;;;;;;;;;;;;;
demand_concession_japan_desc;Force an 即uncivilized country劬 to secede territory to form a colonial concession.;;;;;;;;;;;;;
demand_concession_japan_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;;;;;;;;;;;;;
demand_concession_japan_short;Demand $STATE$;;;;;;;;;;;;;
acquire_substate_region_japan;Demand Japanese Substate;;;;;;;;;;;;;
acquire_substate_region_japan_desc;Force an 即uncivilized country劬 to secede territory to form a colonial concession.;;;;;;;;;;;;;
acquire_substate_region_japan_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;;;;;;;;;;;;;
acquire_substate_region_japan_short;Demand $STATE$;;;;;;;;;;;;;
