#Please keep tags sorted alphabetically when you add/remove country tags
#Please when editing this file add reference to event 9999840 (the not commented-out one)

# Special countries...
REB     =     "countries/rebels.txt"

### AGE OF ENLIGHTENMENT ###

CLN     = "countries/Cleanup.txt"

# Americas #
APC     = "countries/Apache.txt"
BXJ 	= "countries/Baxoje.txt"
CGC     = "countries/Colonial Chile.txt"
CHU     = "countries/Chumash.txt"
JER     = "countries/Jesuit reduction.txt"
FLO   = "countries/Florida.txt"
PBZ   = "countries/Portuegese Brazil.txt"
THC   = "countries/Thirteen Colonies.txt"
VLP        = "countries/Colonial La Plata.txt"
VNG        = "countries/Colonial Colombia.txt"
VNS        = "countries/Colonial Spain.txt"
VOP        = "countries/Colonial Peru.txt"
IQS        = "countries/Iroquois.txt"
LNP        = "countries/Lenape.txt"
CRK        = "countries/Creek.txt"
CHS        = "countries/Chickasaw.txt"
CHT        = "countries/Chicasas.txt"
ISK		= "countries/Ishak.txt"
KIW        = "countries/Kiowa.txt"
SUX        = "countries/Sioux.txt"
SMN        = "countries/Seminole.txt"
ABB        = "countries/Abbenaki.txt"
CDD        = "countries/Caddo.txt"
FOX        = "countries/Fox.txt"
ILL        = "countries/Illiniwek.txt"
MIA        = "countries/Miami.txt"
WIC        = "countries/Wichita.txt"
OTT        = "countries/Ottawa.txt"
PTW        = "countries/Potawatomi.txt"
SHE        = "countries/Shawnee.txt"
UPB        = "countries/United Portugal-Brazil.txt"
TOR		= "countries/Tsardom of Russia.txt"

# East Asia #
AHO        = "countries/Ahom.txt"
BBG        = "countries/Blambangan.txt"
#BIH        = "countries/Bihar.txt" #
BIJ        = "countries/Bijapur.txt" #
#BNG        = "countries/Bengal.txt" #
BRS        = "countries/Barus.txt"
BTE        = "countries/Banten.txt"
DEL        = "countries/Deli.txt"
GUJ        = "countries/Gujarat.txt" #
MAW        = "countries/Malwa.txt" #
MGW        = "countries/Maguindanao.txt"
JGS        = "countries/Jaegaseung.txt"
LAR        = "countries/Larantuka.txt"
MDR        = "countries/Madurai.txt"
#MNP        = "countries/Manipur.txt"
PLM        = "countries/Palembang.txt"
PYG        = "countries/Pagaruyung.txt"
#VOC        = "countries/Dutch East India Company.txt"
BRR			= "countries/Berar.txt"
VIJ			="countries/Vijaynagar.txt"
GOL			="countries/Golconda.txt"
MUL			="countries/Multan.txt"
JEY			="countries/Jeypore.txt"
GRH			="countries/Garha.txt"
KHA			="countries/Kharan.txt"
MKR			="countries/Makran.txt"
RIN			="countries/Rind.txt"
KHJ			="countries/Keonhjar.txt"
PRL			="countries/Parlakhimidi.txt"
GRJ			="countries/Garjat.txt"
SBP			="countries/Sambalpur.txt"
RTP			="countries/Ratanpur.txt"
SGJ			="countries/Surguja.txt"

# Europe #
ACH        = "countries/Achen.txt"
ANS        = "countries/Ansbach.txt"
#ATB        = "countries/Saxe-Altenburg.txt"
BRN        = "countries/Brandenburg.txt"
EFR        = "countries/East Frisia.txt"
AUG        = "countries/Augsburg.txt"
CIS        = "countries/Cisalpinia.txt"
#CLT        = "countries/Celtic Union.txt"
DPR        = "countries/Ducal Prussia.txt"
#FRH        = "countries/Rhenanie.txt"
GBR        = "countries/Great Britain.txt"
#HRE        = "countries/Holy Roman Empire.txt"
NNN        = "countries/The Holy Roman Empire.txt"
LIG        = "countries/Liege.txt"
LNE        = "countries/Luneburg.txt"
KOL        = "countries/Cologne.txt"
KUR        = "countries/Courland.txt"
KKH        = "countries/Kakheti.txt"
MSA        = "countries/Massa.txt"
MUN        = "countries/Munster.txt"
PAL        = "countries/Palatinate.txt"
PLR        = "countries/Poland-Lithuania-Ruthenia.txt"
RAV        = "countries/Ravensburg.txt"
SAL        = "countries/Salzburg.txt"
THU        = "countries/Thuringia.txt"
TRR        = "countries/Trier.txt"
ULM        = "countries/Ulm.txt"
WUL        = "countries/Wulzburg.txt"
GBJ        = "countries/Great Britain Jacobite.txt"
NAP        = "countries/Naples.txt"
