Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
TKM_absolute_monarchy;Akhal-Tekke;;;;;;;;;;;;;
ATC;Antillean Confederation;;;;;;;;;;;;;
ATC_ADJ;Antillean;;;;;;;;;;;;;
PPG;Papua New Guinea;;;;;;;;;;;;;
PPG_ADJ;Papua New Guinean;;;;;;;;;;;;;
VTU;Vanuatu;;;;;;;;;;;;;
VTU_ADJ;Ni-Vanuatu;;;;;;;;;;;;;
SMO;Samoa;;;;;;;;;;;;;
SMO_ADJ;Samoan;;;;;;;;;;;;;
ROM_reactionary;Partidul National Roman;;;;;;;;;;;;;
ROM_reactionary_2;Partidul Nationalist-Democrat;;;;;;;;;;;;;
ROM_reactionary_3;Partidul Poporului;;;;;;;;;;;;;
ROM_conservative;Partidul Conservator;;;;;;;;;;;;;
ROM_conservative_2;Partidul Taranesc;;;;;;;;;;;;;
ROM_conservative_3;Partidul National Taranesc;;;;;;;;;;;;;
ROM_liberal;Fractionistii;;;;;;;;;;;;;
ROM_liberal_2;Partidul National Liberal;;;;;;;;;;;;;
ROM_anarcho_liberal;Partidul din Drepturile Omulu;;;;;;;;;;;;;
ROM_socialist;Partidul Social-Democrat;;;;;;;;;;;;;
ROM_communist;Partidul Comunist;;;;;;;;;;;;;
ROM_fascist;Garda de Fier;;;;;;;;;;;;;
ZBW;Zimbabwe;;;;;;;;;;;;;
ZBW_ADJ;Zimbabwean;;;;;;;;;;;;;
ZBW_liberal;United African National Council;;;;;;;;;;;;;
ZBW_conservative;Zimbabwe United People's Organisation;;;;;;;;;;;;;
ZBW_socialist;Zimbabwe African National Union;;;;;;;;;;;;;
ZBW_reactionary;Patriotic Front;;;;;;;;;;;;;
ZBW_anarcho_liberal;Radical Party of Zimbabwe;;;;;;;;;;;;;
ZBW_communist;Zimbabwe African People's Union;;;;;;;;;;;;;
ZBW_fascist;Fascist Party of Zimbabwe;;;;;;;;;;;;;
CMS;Comoros;;;;;;;;;;;;;
CMS_ADJ;Comorian;;;;;;;;;;;;;
CMS_liberal;Democratic Rally of the Comorian People;;;;;;;;;;;;;
CMS_conservative;Comorian Democratic Union;;;;;;;;;;;;;
CMS_socialist;Socialist Party of Comoros;;;;;;;;;;;;;
CMS_reactionary;Comorian Union for Progress;;;;;;;;;;;;;
CMS_anarcho_liberal;Uwezo;;;;;;;;;;;;;
CMS_communist;Democratic Assembly of the Comorian People;;;;;;;;;;;;;
CMS_fascist;Party for National Salvation;;;;;;;;;;;;;
nahua;Mesoamerican Indian;;;;;;;;;;;;;
kreol;Kreol;;;;;;;;;;;;;
EQG;Equatorial Guinea;;;;;;;;;;;;;
EQG_ADJ;Equatoguinean;;;;;;;;;;;;;
EQG_absolute_monarchy;Moka;;;;;;;;;;;;;
EQG_absolute_monarchy_ADJ;Mokian;;;;;;;;;;;;;
EQG_liberal;Progressive Democratic Alliance;;;;;;;;;;;;;
EQG_conservative;Popular Union;;;;;;;;;;;;;
EQG_socialist;Popular Idea;;;;;;;;;;;;;
EQG_reactionary_2;PDGE;;;;;;;;;;;;;
EQG_reactionary;Bubi Union;;;;;;;;;;;;;
EQG_anarcho_liberal;Popular Action;;;;;;;;;;;;;
EQG_communist;United National Workers' Party;;;;;;;;;;;;;
EQG_fascist;Movement of National Union;;;;;;;;;;;;;
western_nigritic;Western Nigritic;;;;;;;;;;;;;
kefficho;Omotic;;;;;;;;;;;;;
harari;Habesha;;;;;;;;;;;;;
east_kwa;Kwa;;;;;;;;;;;;;
gur;Gur;;;;;;;;;;;;;
south_forest_bantu;Central Bantu;;;;;;;;;;;;;
forest_bantu;Northwest Bantu;;;;;;;;;;;;;
ubangian;Ubangi;;;;;;;;;;;;;
kavango;Kavango-Kimbundu;;;;;;;;;;;;;
southern_bantu;Southern Bantu;;;;;;;;;;;;;
yao;Yao-Makonde;;;;;;;;;;;;;
teda;Toubou;;;;;;;;;;;;;
sara;Sara-Baguirmi;;;;;;;;;;;;;
tiv;Bantoid;;;;;;;;;;;;;
baguirmi;Maban;;;;;;;;;;;;;
nyasa;Nyasa;;;;;;;;;;;;;
kilombero;Kilombero;;;;;;;;;;;;;
cushitic;Cushitic;;;;;;;;;;;;;
nilotic;Nilosaharan;;;;;;;;;;;;;
lacustrine_bantu;Northeast Bantu;;;;;;;;;;;;;
maasai;Kalenjin-Maasai;;;;;;;;;;;;;
kikuyu;KikuyuñKamba;;;;;;;;;;;;;
HTY;Turkmeneli;;;;;;;;;;;;;
HTY_ADJ;Turkomani;;;;;;;;;;;;;
POR_fascist;Movimento Nacional-Sindicalista;;;;;;;;;;;;;
IRE_fascist;The Blueshirts;;;;;;;;;;;;;
IRE_communist;Communist Party of Ireland;;;;;;;;;;;;;
IRE_conservative;Irish Conservative Party;;;;;;;;;;;;;
AST_fascist;New Guard;;;;;;;;;;;;;
alaskan;Alaskan;;;;;;;;;;;;;
USA_conservative_2;Bourbon Democrats;;;;;;;;;;;;;
USA_conservative_4;Democrats;;;;;;;;;;;;;
