Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AHO_ADJ;Ahomese;;;;;;;;;;;;;
APC;Apache;;;;;;;;;;;;;
APC_ADJ;Apache;;;;;;;;;;;;;
AGZ;Sultanate of Agadez;;;;;;;;;;;;;
AGZ_ADJ;Agadez;;;;;;;;;;;;;
NRI;Kingdom of Nri;;;;;;;;;;;;;
NRI_ADJ;Nri;;;;;;;;;;;;;
WIC;Wichita;;;;;;;;;;;;;
WIC_ADJ;Wichita;;;;;;;;;;;;;
KVD;Khovd;;;;;;;;;;;;;
KVD_ADJ;Khovd;;;;;;;;;;;;;
TNJ;Thanjavur;;;;;;;;;;;;;
TNJ_ADJ;Thanjavur;;;;;;;;;;;;;
WHH;Whydah;;;;;;;;;;;;;
WHH_ADJ;Whydah;;;;;;;;;;;;;
FEZ;Kingdom of Fez;;;;;;;;;;;;;
FEZ_ADJ;Fez;;;;;;;;;;;;;
TUG;Touggourt;;;;;;;;;;;;;
TUG_ADJ;Touggourt;;;;;;;;;;;;;
MZB;M'zab;;;;;;;;;;;;;
MZB_ADJ;Mozabite;;;;;;;;;;;;;
OUA;Ouargla;;;;;;;;;;;;;
OUA_ADJ;Ouargla;;;;;;;;;;;;;
NTC;Natchez;;;;;;;;;;;;;
NTC_ADJ;Natchez;;;;;;;;;;;;;
BNA;Beni Abbas;;;;;;;;;;;;;
BNA_ADJ;Beni Abbas;;;;;;;;;;;;;
SUS;Kingdom of Sus;;;;;;;;;;;;;
SUS_ADJ;Sus;;;;;;;;;;;;;
KIW;Kiowa;;;;;;;;;;;;;
KIW_ADJ;Kiowa;;;;;;;;;;;;;
CHU;Chumash;;;;;;;;;;;;;
CHU_ADJ;Chumash;;;;;;;;;;;;;
DGB;Dagbon;;;;;;;;;;;;;
DGB_ADJ;Dagbon;;;;;;;;;;;;;
TAF;Kingdom of Tafilalt;;;;;;;;;;;;;
TAF_ADJ;Tafilalt;;;;;;;;;;;;;
TIM;Timbuktu;;;;;;;;;;;;;
TIM_ADJ;Timbuktuan;;;;;;;;;;;;;
TIM_absolute_monarchy;Pashalik of Timbuktu;;;;;;;;;;;;;
GFL;Great Fulo;;;;;;;;;;;;;
GFL_ADJ;Great Fulani;;;;;;;;;;;;;
ASB;Iron Confederacy;;;;;;;;;;;;;
ASB_ADJ;Iron;;;;;;;;;;;;;
JGS;Jaegaseung;;;;;;;;;;;;;
JGS_ADJ;Jaegaseung;;;;;;;;;;;;;
ARK;Arakan;;;;;;;;;;;;;
ARK_ADJ;Arankanese;;;;;;;;;;;;;
CHG;Chitradurga;;;;;;;;;;;;;
CHG_ADJ;Chitradurgan;;;;;;;;;;;;;
ARD;Ardra;;;;;;;;;;;;;
ARD_ADJ;Ardran;;;;;;;;;;;;;
IGL;Igala;;;;;;;;;;;;;
IGL_ADJ;Igala;;;;;;;;;;;;;
BSK;Bashkortostan;;;;;;;;;;;;;
BSK_ADJ;Bashkir;;;;;;;;;;;;;
COC;Cochin;;;;;;;;;;;;;
COC_ADJ;Cochinese;;;;;;;;;;;;;
CIT;Calicut;;;;;;;;;;;;;
CIT_ADJ;Calicutan;;;;;;;;;;;;;
HDA;Haida Gwaii;;;;;;;;;;;;;
HDA_ADJ;Haidan;;;;;;;;;;;;;
MPC;Mapuche;;;;;;;;;;;;;
MPC_ADJ;Mapuche;;;;;;;;;;;;;
ANK;Nkore;;;;;;;;;;;;;
ANK_ADJ;Nkorean;;;;;;;;;;;;;
BIJ;Bijapur;;;;;;;;;;;;;
BIJ_ADJ;Bijapuri;;;;;;;;;;;;;
ORN;Orunga;;;;;;;;;;;;;
ORN_ADJ;Orungan;;;;;;;;;;;;;
GOB;Gobir;;;;;;;;;;;;;
GOB_ADJ;Gobirawa;;;;;;;;;;;;;
BRG;Borgu;;;;;;;;;;;;;
BRG_ADJ;Borgu;;;;;;;;;;;;;
JER;Jesuit Mission State;;;;;;;;;;;;;
JER_ADJ;Jesuit Mission State;;;;;;;;;;;;;
SMN;Seminole;;;;;;;;;;;;;
SMN_ADJ;Seminole;;;;;;;;;;;;;
KAT;Katsina;;;;;;;;;;;;;
KAT_ADJ;Katsin;;;;;;;;;;;;;
KKH;Kakheti;;;;;;;;;;;;;
KKH_ADJ;Kakhetian;;;;;;;;;;;;;
MGW;Maguindanao;;;;;;;;;;;;;
MGW_ADJ;Maguindanaon;;;;;;;;;;;;;
KWR;Kwararafa;;;;;;;;;;;;;
KWR_ADJ;Kwararafan;;;;;;;;;;;;;
HAD;Biram;;;;;;;;;;;;;
HAD_ADJ;Biram;;;;;;;;;;;;;
CMN;Comancheria;;;;;;;;;;;;;
CMN_ADJ;Comanche;;;;;;;;;;;;;
KNO;Kano;;;;;;;;;;;;;
KNO_ADJ;Kanoese;;;;;;;;;;;;;
ZAR;Zaria;;;;;;;;;;;;;
ZAR_ADJ;Zarian;;;;;;;;;;;;;
GEU;Ijebu;;;;;;;;;;;;;
GEU_ADJ;Ijebuan;;;;;;;;;;;;;
NPE;Nupe;;;;;;;;;;;;;
NPE_ADJ;Nupean;;;;;;;;;;;;;
MND;Baté;;;;;;;;;;;;;
MND_ADJ;Batéan;;;;;;;;;;;;;
KAK;Kartli;;;;;;;;;;;;;
KAK_ADJ;Kartlian;;;;;;;;;;;;;
BNY;Bunyoro;;;;;;;;;;;;;
BNY_ADJ;Bunyoran;;;;;;;;;;;;;
TRP;Tripura;;;;;;;;;;;;;
TRP_ADJ;Tripuran;;;;;;;;;;;;;
MTP;Mutapa;;;;;;;;;;;;;
