Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
TRE_colonial_company;Freie Stadt Triest;;;;;;;;;;;;;
TRE_dominion;Freie Stadt Triest;;;;;;;;;;;;;
HEH_ADJ;Hessian;;;;;;;;;;;;;
HEH;Hesse-Homburg;;;;;;;;;;;;;
MST_ADJ;Mecklenburgian;;;;;;;;;;;;;
MST;Mecklenburg-Strelitz;;;;;;;;;;;;;
VOJ_ADJ;Vojvodinian;;;;;;;;;;;;;
VOJ;Vojvodina;;;;;;;;;;;;;
CUO_ADJ;Couto Mistan;;;;;;;;;;;;;
CUO;Couto Misto;;;;;;;;;;;;;
MRN_ADJ;Moresnetian;;;;;;;;;;;;;
MRN;Neutral Moresnet;;;;;;;;;;;;;
NEP_conservative;Rana Dynasty;;;;;;;;;;;;;
SIK_conservative;Chogyal Dynasty;;;;;;;;;;;;;
CAM_conservative;Norodom Dynasty;;;;;;;;;;;;;
MLD_conservative;Huraa Dynasty;;;;;;;;;;;;;
BHU_conservative;Wangchuck Dynasty;;;;;;;;;;;;;
CRL_conservative;Katoor Dynasty;;;;;;;;;;;;;
AWA_conservative;Maharaja's Faction;;;;;;;;;;;;;
TRA_conservative;Kupaka Swaroopam;;;;;;;;;;;;;
MNP_conservative;Maharaja's Faction;;;;;;;;;;;;;
MYS_conservative;Maharaja's Faction;;;;;;;;;;;;;
ORI_conservative;Maharaja's Faction;;;;;;;;;;;;;
BAS_conservative;Bhanj Dynasty;;;;;;;;;;;;;
NAG_conservative;Bhonsle Dynasty;;;;;;;;;;;;;
HYD_conservative;Asaf Jah Dynasty;;;;;;;;;;;;;
BUN_conservative;Maharaja's Faction;;;;;;;;;;;;;
IND_conservative;Maharaja's Faction;;;;;;;;;;;;;
BHO_conservative;Begum's Faction;;;;;;;;;;;;;
KUT_conservative;Jadeja Dynasty;;;;;;;;;;;;;
BER_conservative;Gaekwad Dynasty;;;;;;;;;;;;;
GWA_conservative;Scindia Dynasty;;;;;;;;;;;;;
MEW_conservative;Rajput Faction;;;;;;;;;;;;;
JOD_conservative;Rajput Faction;;;;;;;;;;;;;
JAI_conservative;Rajput Faction;;;;;;;;;;;;;
BIK_conservative;Rajput Faction;;;;;;;;;;;;;
JAS_conservative;Rajput Faction;;;;;;;;;;;;;
BHP_conservative;Nawab's Faction;;;;;;;;;;;;;
SIN_conservative;Emir's Faction;;;;;;;;;;;;;
QAT_conservative;Al-Thani;;;;;;;;;;;;;
KWT_conservative;Al-Subah;;;;;;;;;;;;;
MAK_conservative;Khan's Faction;;;;;;;;;;;;;
KAL_conservative;Khan's Faction;;;;;;;;;;;;;
KOK_conservative;Khan's Faction;;;;;;;;;;;;;
KHI_conservative;Khan's Faction;;;;;;;;;;;;;
KAZ_conservative;Greater Zhuz;;;;;;;;;;;;;
AFG_conservative;Amir's Faction;;;;;;;;;;;;;
BUK_conservative;Amir's Faction;;;;;;;;;;;;;
HRT_conservative;Amir's Faction;;;;;;;;;;;;;
URM;Urmia;;;;;;;;;;;;;
URM_ADJ;Urmia;;;;;;;;;;;;;
HEJ_conservative;Al-Hashimiyun;;;;;;;;;;;;;
YEM_conservative;Imam's Faction;;;;;;;;;;;;;
YEM_reactionary;Zaidiyyah Council;;;;;;;;;;;;;
OMA_conservative;Al-Said;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
DAI_conservative;Nhà Nguyen;;;;;;;;;;;;;
DAI_liberal;Nhà Nguyen;;;;;;;;;;;;;
ATJ_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
KTI_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
BAL_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
BRU_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
JAV_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
JOH_conservative;Sultan's Faction;Faction Sultan;Sultan Fraktion;;;;;;;;;;;
AZH;Anazzah;;;;;;;;;;;;;
AZH_absolute_monarchy;Anazzah Sheikhdom;;;;;;;;;;;;;
AZH_ADJ;Ruwallah;;;;;;;;;;;;;
HRT;Herat;;;;;;;;;;;;;
HRT_ADJ;Herati;;;;;;;;;;;;;
ZFN_ADJ;Kurdish;;;;;;;;;;;;;
ZFN;Za’faranlu;;;;;;;;;;;;;
KHR_ADJ;Khorasani;Khorasani;Khorasani;;;;;;;;;;;
KHR;Khorasan;Khorasan;Khorasan;;;;;;;;;;;
KAN_ADJ;Kangan;;;;;;;;;;;;;
KAN;Kangan;;;;;;;;;;;;;
KHZ_ADJ;Arab;Arabistani;Arabistani;;;;;;;;;;;
KHZ;Arabistan;Arabistan;Arabistan;;;;;;;;;;;
LAS;Las Bela;;;;;;;;;;;;;
LAS_ADJ;Balochi;;;;;;;;;;;;;
LUW;Luwu;;;;;;;;;;;;;
LUW_ADJ;Luwu;;;;;;;;;;;;;
BTN;Buton;;;;;;;;;;;;;
BTN_ADJ;Butonese;;;;;;;;;;;;;
KUN;Kunduz;;;;;;;;;;;;;
KUN_ADJ;Kunduz;;;;;;;;;;;;;
AKH_absolute_monarchy;Bukei Horde;;;;;;;;;;;;;
AKH_prussian_constitutionalism;Bukei Horde;;;;;;;;;;;;;
RIA;Riau-Lingga;;;;;;;;;;;;;
RIA_ADJ;Riau;;;;;;;;;;;;;
MTN;Matan;;;;;;;;;;;;;
