Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
welsh;Welsh;;;;;;;;;;;;;
scottish;Scottish;;;;;;;;;;;;;
galician;Galician;;;;;;;;;;;;;
volga_german;Eastern German;;;;;;;;;;;;;
arpitan;Arpitan;;;;;;;;;;;;;
hanhui;Hui;;;;;;;;;;;;;
siebenburger;Siebenbürger;;;;;;;;;;;;;
anglo_canadian;Anglo-Canadian;Anglo-canadien;Anglokanadisch;;Anglocanadiense;;;;;;;;;
french_canadian;French-Canadien;Franco-canadien;Frankokanadisch;;Franco-canadiense;;;;;;;;;
anglo_indian;Anglo-Indian;;;;;;;;;;;;;
british;English;;;;;;;;;;;;;
pan_french_nationalism;Pan-French Nationalism;;;;;;;;;;;;;
dayak;Dajak;Dayak;Dayak;;Dayak;;;;;;;;;
mulatto;Mulatto;;;;;;;;;;;;;
