Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
riksdaler;Riksdaler Reform;;;;;;;;;;;;;
gustav_iii;Gustav III Holstein-Gottorp;;;;;;;;;;;;;
swedish_absolitism;Swedish Absolutism;;;;;;;;;;;;;
improved_administration;Gubernyas system;;;;;;;;;;;;;
table_of_ranks;Table of Ranks;;;;;;;;;;;;;
peter_the_great;Peter the Great;;;;;;;;;;;;;
peter_iii;Peter III Romanov;;;;;;;;;;;;;
catharine_the_great;Catharine the Great;;;;;;;;;;;;;
nakaz;Nakaz Edict;;;;;;;;;;;;;
ecole_militire;Ecole Miliaire;;;;;;;;;;;;;
prussian_herbstubung;Herbstunbung;;;;;;;;;;;;;
prussian_goose_step;Goose step;;;;;;;;;;;;;
prussian_mobilization;Cantons system;;;;;;;;;;;;;
berlin_academy_of_sciences;Berlin academy of sciences;;;;;;;;;;;;;
renovated_armada;Renovated Armada;;;;;;;;;;;;;
the_cadastre_tax_and_the_spanish_bank;The Cadastre Tax and Spanish Banks;;;;;;;;;;;;;
royal_academy_of_the_fine_arts;Royal Academy of Fine Arts;;;;;;;;;;;;;
new_royal_spanish_academy;Royal Spanish Academy;;;;;;;;;;;;;
janisseries_angry;Janissaries Opposition;;;;;;;;;;;;;
janisseries_furious;Janissaries Retaliation;;;;;;;;;;;;;
imperial_navy_engieering_school;Imperial Navy Engineering School;;;;;;;;;;;;;
prussian_military_advisors;Prussian Military Advisors;;;;;;;;;;;;;
nizam_i_djedid;Nizam-i Djedid;;;;;;;;;;;;;
szlachta_taxes;Szlachta's additional taxes;;;;;;;;;;;;;
szlachta_war_taxes;Szlachta's War Taxes;;;;;;;;;;;;;
szlachta_pissed;Szlachta Retaliation;;;;;;;;;;;;;
szlachta_opposition;Szlachta Opposition;;;;;;;;;;;;;
sugar_act_on_colonies;Sugar Act;;;;;;;;;;;;;
stamp_act_on_colonies;Stamp Act;;;;;;;;;;;;;
tea_act_on_colonies;Tea Act;;;;;;;;;;;;;
intoreable_act_on_colonies;The Intolerable Acts;;;;;;;;;;;;;
most_perfect_economy_system;Most Perfect Economic System;;;;;;;;;;;;;
rights_of_man;The Rights of Man;;;;;;;;;;;;;
the_safeheaven_for_liberalism;The safe haven for Liberalism;;;;;;;;;;;;;
white_house;The White House;;;;;;;;;;;;;
army_reform_ula;Louisianian Army Reform;;;;;;;;;;;;;
native_assimilation_act_policy_ula;Native Assimilation Act;;;;;;;;;;;;;
french_military_advisors;French Military Advisors;;;;;;;;;;;;;
for_god_and_people;For God and People;;;;;;;;;;;;;
reformed_scholarship;Reformed Scholarship;;;;;;;;;;;;;
western_values;Western Values;;;;;;;;;;;;;
reformed_army;Reformed Army;;;;;;;;;;;;;
reformed_beurocracy;Reformed Bureaucracy;;;;;;;;;;;;;
reformed_industry:Reformed Industry;;;;;;;;;;;;;;
french_naval_school;French Naval school;;;;;;;;;;;;;
jacobite_sympathies;Jacobite Sympathies;;;;;;;;;;;;;
indian_raj;Indian Raj;;;;;;;;;;;;;
dominus_mare_baltici;Dominum Mari Baltici;;;;;;;;;;;;;
hungarians_rise;Hungarians rise;;;;;;;;;;;;;
national_unrest;National unrests;;;;;;;;;;;;;
national_rebellion;National rebellions;;;;;;;;;;;;;
serbian_rebellion;Serbian rebellion;;;;;;;;;;;;;
ruthenian_rebellion;Ruthenian rebellion;;;;;;;;;;;;;
romanian_rebellion;Romanian rebellion;;;;;;;;;;;;;
slovakian_rebellion;Slovakian rebellion;;;;;;;;;;;;;
slovenian_rebellion;Slovenian rebellion;;;;;;;;;;;;;
croatian_rebellion;Croatian rebellion;;;;;;;;;;;;;
hungarian_autocracy;Hungarian Absolutism;;;;;;;;;;;;;
hungarian_constitutions;Danubian Liberalism;;;;;;;;;;;;;
bureaucracy_pm;Bureaucratic Head of Government;;;;;;;;;;;;;
burghers_pm;Burgher Head of Government;;;;;;;;;;;;;
church_pm;Clerical Head of Government;;;;;;;;;;;;;
nobility_pm;Aristocratic Head of Government;;;;;;;;;;;;;
gentry_pm;Gentry of Government;;;;;;;;;;;;;
army_pm;Military Head of Government;;;;;;;;;;;;;
5_year_term;Five Year Term;;;;;;;;;;;;;
piracy_mild;Mild Piracy;;;;;;;;;;;;;
piracy_moderate;Moderate Piracy;;;;;;;;;;;;;
piracy_harsh;Harsh Piracy;;;;;;;;;;;;;
piracy_spoils;Spoils of Piracy;;;;;;;;;;;;;
maria_theresa;Maria Theresa Habsburg;;;;;;;;;;;;;
codex_theresianus;Codex Thresianus;;;;;;;;;;;;;
austrian_vaccination;Vaccination Policys;;;;;;;;;;;;;
josephism;Josephism;;;;;;;;;;;;;
theresian_military_academy;Theresian Military Academy;;;;;;;;;;;;;
ost_land_company;Ost-Land Company;;;;;;;;;;;;;
louis_grande;Louis XIV Bourbon;;;;;;;;;;;;;
peasant_turmoil:Peasant Turmoil;;;;;;;;;;;;;
poor_tax_laws;Poor Tax Laws;;;;;;;;;;;;;
poor_conscript_laws;Low Conscription;;;;;;;;;;;;;
peasant_in_government;Peasants in the Governments;;;;;;;;;;;;;
clergy_and_nobility_domination;Noble and Clergy Domination;;;;;;;;;;;;;
agriculture_revolution;Agricultre Revolution;;;;;;;;;;;;;
encolsure;Encolsure Completed;;;;;;;;;;;;;
british_general_staff;British General Staff;;;;;;;;;;;;;
fief_and_drum;Fief and Drum;;;;;;;;;;;;;
constitutio_criminalis_theresiana;Constitutio Criminalis Theresiana;;;;;;;;;;;;;
army_unrest_5;Unrest among the Army;;;;;;;;;;;;;
army_unrest_5_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
army_unrest_4;Unrest among the Army;;;;;;;;;;;;;
army_unrest_4_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
army_unrest_3;Unrest among the Army;;;;;;;;;;;;;
army_unrest_3_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
army_unrest_2;Unrest among the Army;;;;;;;;;;;;;
army_unrest_2_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
army_unrest_1;Unrest among the Army;;;;;;;;;;;;;
army_unrest_1_desc;The Poor Strata of our country is furious at our recent actions;;;;;;;;;;;;;
bureaucratic_unrest_5;Unrest among the Bureaucrats;;;;;;;;;;;;;
bureaucratic_unrest_5_desc;The Middle Strata of our country is furious at our recent actions;;;;;;;;;;;;;
