Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
DEN_251;Island & Grønland;;;;;;;;;;;;;
TUR_887;Erzurum;;;;;;;;;;;;;
TAJ_1208;Tadzhikistan;;;;;;;;;;;;;
PROV2916;Coast of Angola;;;;;;;;;;;;;
PROV2917;Coast of Kongo;;;;;;;;;;;;;
PROV2915;Walvis Bay;;;;;;;;;;;;;
PROV3038;East Coast of Saint Helena;;;;;;;;;;;;;
PROV3039;Gulf of Guinea;;;;;;;;;;;;;
PROV2926;Norwegian Sea;;;;;;;;;;;;;
PROV2927;Jan Mayen Sea;;;;;;;;;;;;;
PROV2929;North Atlantic;;;;;;;;;;;;;
PROV2720;German Bight;;;;;;;;;;;;;
PROV2920;Ivory Coast;;;;;;;;;;;;;
PROV2919;Gold Coast;;;;;;;;;;;;;
PROV2712;Skagerrak;;;;;;;;;;;;;
PROV2711;Kattegat;;;;;;;;;;;;;
PROV901;Hasakah;;;;;;;;;;;;;
PROV904;Raqqa;;;;;;;;;;;;;
PROV909;Amman;;;;;;;;;;;;;
PROV908;Ma´an;;;;;;;;;;;;;
PROV911;Altubaiq;;;;;;;;;;;;;
RUS_708;Podlachia;;;;;;;;;;;;;
PROV3323;Dobrzyn;;;;;;;;;;;;;
PROV3324;Phoenix Islands;;;;;;;;;;;;;
PROV803;Peja;;;;;;;;;;;;;
PROV3295;Ambrosio;;;;;;;;;;;;;
PROV3296;Pauini;;;;;;;;;;;;;
PROV3297;Majuria;;;;;;;;;;;;;
PROV3298;Corumbá;;;;;;;;;;;;;
PROV3299;Taltal;;;;;;;;;;;;;
PROV3300;Eutin;;;;;;;;;;;;;
PROV3301;Rinteln;;;;;;;;;;;;;
PROV3302;Birkenfeld;;;;;;;;;;;;;
PROV3303;Altenburg;;;;;;;;;;;;;
PROV3304;Schleusingen;;;;;;;;;;;;;
PROV3305;Schmalkalden;;;;;;;;;;;;;
PROV3306;Homburg;;;;;;;;;;;;;
PROV3307;Gersfeld;;;;;;;;;;;;;
PROV3308;Munkatsch;;;;;;;;;;;;;
PROV3309;Maria-Theresiopel;;;;;;;;;;;;;
PROV3310;Spisz;;;;;;;;;;;;;
PROV3311;Ferlach;;;;;;;;;;;;;
PROV3312;Gutenstein;;;;;;;;;;;;;
PROV3313;Venlo;;;;;;;;;;;;;
PROV3314;Schaffhausen;;;;;;;;;;;;;
PROV3315;Paracel and Spratly Islands;;;;;;;;;;;;;
PROV3316;Kergeulen;;;;;;;;;;;;;
PROV3317;Western Aleutian Islands;;;;;;;;;;;;;
PROV3318;Arlon;;;;;;;;;;;;;
PROV3319;Kikinda;;;;;;;;;;;;;
PROV3320;Kelmis;;;;;;;;;;;;;
PROV3321;Kosovska Mitrovica;;;;;;;;;;;;;
PROV3322;Thionville;;;;;;;;;;;;;
PROV3325;Rubiás;;;;;;;;;;;;;
PROV3326;San Mun;;;;;;;;;;;;;
PROV3363;Taman;;;;;;;;;;;;;
PROV398;Bastogne;;;;;;;;;;;;;
PROV697;Osterode;;;;;;;;;;;;;
PROV308;Ålesund;;;;;;;;;;;;;
PROV306;Bodø;;;;;;;;;;;;;
PROV305;Trondhjem;;;;;;;;;;;;;
ABU_1162;Trucial Coast;;;;;;;;;;;;;
AUS_614;Vorarlberg;;;;;;;;;;;;;
PROV12;Liwa;;;;;;;;;;;;;
AFG_1212;Herat;;;;;;;;;;;;;
PROV2519;Maymana;;;;;;;;;;;;;
PROV837;Mesolongi;;;;;;;;;;;;;
PROV836;Lamía;;;;;;;;;;;;;
PROV839;Náfplion;;;;;;;;;;;;;
PROV840;Kórinthos;;;;;;;;;;;;;
AUS_624;Burgenland;;;;;;;;;;;;;
FRA_404;Artois;;;;;;;;;;;;;
PROV368;Vamdrup;;;;;;;;;;;;;
PROV2548;Igdir;;;;;;;;;;;;;
PROV1179;Al-Hudaydah;;;;;;;;;;;;;
PROV1817;Mellit;;;;;;;;;;;;;
PROV1841;Al-Fashir;;;;;;;;;;;;;
PROV928;Rewanduz;;;;;;;;;;;;;
PROV2196;Brus Laguna;;;;;;;;;;;;;
PROV1091;Tskhinval;;;;;;;;;;;;;
PROV433;Belfort;;;;;;;;;;;;;
PROV947;Maladzyechna;;;;;;;;;;;;;
PROV946;Lepiel;;;;;;;;;;;;;
PROV940;Brest-Litovsk;;;;;;;;;;;;;
PROV937;Pruzhany;;;;;;;;;;;;;
PROV939;Pinsk;;;;;;;;;;;;;
PROV509;Sevilla;;;;;;;;;;;;;
PROV677;Akerman;;;;;;;;;;;;;
PROV834;Athina;;;;;;;;;;;;;
PROV3293;Bayburt;;;;;;;;;;;;;
PROV3294;Al-Muabbada;;;;;;;;;;;;;
PROV1119;Kermanshah;;;;;;;;;;;;;
PROV1117;Sanandaj;;;;;;;;;;;;;
PROV1118;Saqqez;;;;;;;;;;;;;
PROV673;Cahul;;;;;;;;;;;;;
PROV3286;Steinamanger;;;;;;;;;;;;;
PROV2638;Zabul;;;;;;;;;;;;;
PROV2622;Bar-le-Duc;;;;;;;;;;;;;
PER_1142;Hormozgan;;;;;;;;;;;;;
PROV2643;Hajjiabad;;;;;;;;;;;;;
PROV3258;Kech;;;;;;;;;;;;;
PROV1210;Faizabad;;;;;;;;;;;;;
PROV1211;Kunduz;;;;;;;;;;;;;
PROV8;Kuala Kelantan;;;;;;;;;;;;;
PROV10;San Khew Jong;;;;;;;;;;;;;
PROV3275;Kapoea;;;;;;;;;;;;;
PROV3276;Kutai Timur;;;;;;;;;;;;;
PROV3277;Hultschin;;;;;;;;;;;;;
PROV3278;Manifa;;;;;;;;;;;;;
PROV3279;Kelmentsi;;;;;;;;;;;;;
PROV3281;Fraustadt;;;;;;;;;;;;;
PROV3282;Murska Sobota;;;;;;;;;;;;;
PROV3283;Baranja;;;;;;;;;;;;;
PROV3284;Môle St-Nicolas;;;;;;;;;;;;;
PROV3285;Wadowice;;;;;;;;;;;;;
PROV3287;Olivenza;;;;;;;;;;;;;
PROV3288;Tarvis;;;;;;;;;;;;;
PROV3289;Cakovec;;;;;;;;;;;;;
PROV3280;Aroostook;;;;;;;;;;;;;
PROV3292;Al Salman;;;;;;;;;;;;;
PROV3290;Bosilegrad;;;;;;;;;;;;;
PROV521;Lisboa;;;;;;;;;;;;;
RUS_994;Ingriya;;;;;;;;;;;;;
PROV1429;Tanjung Palas;;;;;;;;;;;;;
PROV1424;Samarinda;;;;;;;;;;;;;
PROV3274;Svaneti;;;;;;;;;;;;;
PROV2095;Dithakong;;;;;;;;;;;;;
SWI_603;Mittelland;;;;;;;;;;;;;
SWI_607;Région Lémanique;;;;;;;;;;;;;
SWI_2568;Ticino;;;;;;;;;;;;;
PROV3273;Seiyun;;;;;;;;;;;;;
PROV3270;Wetzlar;;;;;;;;;;;;;
PROV3271;Jura;;;;;;;;;;;;;
PROV3272;Brig;;;;;;;;;;;;;
BEL_387;Vlaanderen;;;;;;;;;;;;;
BEL_394;Wallonie;;;;;;;;;;;;;
PROV609;Sion;;;;;;;;;;;;;
PROV1623;Songjin;;;;;;;;;;;;;
PROV388;Brugge;;;;;;;;;;;;;
PROV389;Gent;;;;;;;;;;;;;
PROV390;Antwerpen;;;;;;;;;;;;;
PROV3269;Portsmouth;;;;;;;;;;;;;
PROV3268;Exeter;;;;;;;;;;;;;
PROV3267;Bielefeld;;;;;;;;;;;;;
PROV3266;San Marino;;;;;;;;;;;;;
PROV3265;Essen;;;;;;;;;;;;;
PROV567;Gießen;;;;;;;;;;;;;
FRA_432;Franche-Comté;;;;;;;;;;;;;
FRA_411;Lorraine;;;;;;;;;;;;;
FRA_406;Champagne;;;;;;;;;;;;;
PROV3263;Fort William;;;;;;;;;;;;;
PROV3264;Nicobar Islands;;;;;;;;;;;;;
PROV882;Trebizond;;;;;;;;;;;;;
PROV861;Scutari;;;;;;;;;;;;;
PROV828;Adrianople;;;;;;;;;;;;;
PROV860;Kostantiniyye;;;;;;;;;;;;;
PROV869;Smyrna;;;;;;;;;;;;;
RUS_1008;Moskva;;;;;;;;;;;;;
PROV958;Kyiv;;;;;;;;;;;;;
PROV603;Zürich;;;;;;;;;;;;;
PROV1017;Oryol;;;;;;;;;;;;;
PROV1008;Moskva;;;;;;;;;;;;;
PROV981;Arkhangel'sk;;;;;;;;;;;;;
PROV372;København;;;;;;;;;;;;;
PROV809;Sofiya;;;;;;;;;;;;;
PROV619;Wien;;;;;;;;;;;;;
RUS_981;Arkhangel'sk;;;;;;;;;;;;;
RUS_978;Kharkiv;;;;;;;;;;;;;
RUS_958;Kyiv;;;;;;;;;;;;;
PROV978;Kharkiv;;;;;;;;;;;;;
PROV744;Firenze;;;;;;;;;;;;;
PROV749;Roma;;;;;;;;;;;;;
PROV724;Genova;;;;;;;;;;;;;
PROV726;Milano;;;;;;;;;;;;;
PROV754;Napoli;;;;;;;;;;;;;
PROV729;Venezia;;;;;;;;;;;;;
PROV720;Torino;;;;;;;;;;;;;
PROV731;Padova;;;;;;;;;;;;;
PROV2721;Heligoland Bight;;;;;;;;;;;;;
RUS_959;Volyn;;;;;;;;;;;;;
druze;Druze;;;;;;;;;;;;;
PROV910;Azraq;;;;;;;;;;;;;
PROV2582;Cattaro;;;;;;;;;;;;;
PROV1839;Al-Fula;;;;;;;;;;;;;
PROV1739;An Nuhud;;;;;;;;;;;;;
PROV1806;Bayuda;;;;;;;;;;;;;
PROV2046;Mbeya;;;;;;;;;;;;;
PROV1850;Keren;;;;;;;;;;;;;
AUS_733;Friuli;;;;;;;;;;;;;
PAP_741;Emilia-Romagna;;;;;;;;;;;;;
new_world_semidesert;Desert Scrublands;;;;;;;;;;;;;
new_world_desert;Desert;;;;;;;;;;;;;
new_world_boreal;Taiga;;;;;;;;;;;;;
new_world_montane_tundra;Alpine Tundra;;;;;;;;;;;;;
new_world_arctic;Tundra;;;;;;;;;;;;;
new_world_mountain;Montane Grassland;;;;;;;;;;;;;
new_world_jungle;Jungle;;;;;;;;;;;;;
new_world_plains;Grassland;;;;;;;;;;;;;
new_world_small_island;Island;;;;;;;;;;;;;
arid_climate;Arid Climate;;;;;;;;;;;;;
CANAL_6;English Channel;;;;;;;;;;;;;
GRE_837;Stereá Elláda;;;;;;;;;;;;;
GRE_826;Peloponnisos;;;;;;;;;;;;;
#EGY_846;Nisiá Aigaíou;;;;;;;;;;;;;
PROV2669;Sondrio;;;;;;;;;;;;;
PROV3262;Belluno;;;;;;;;;;;;;
