Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
D01;$REGION$;;Das Kˆnigreich von $REGION$;;;;;;;;;;;
D01_ADJ;$REGION$;;kˆnigstreu;;;;;;;;;;;
D02;The Confederation of $REGION$;;Die Konfˆderation von $REGION$;;;;;;;;;;;
D02_ADJ;$REGION$;;konfˆderiert;;;;;;;;;;;
D03;Commonwealth of $REGION$;;Commonwealth von $REGION$;;;;;;;;;;;
D03_ADJ;Commonwealth;;Commonwealth-;;;;;;;;;;;
D04;$REGION$;;Die Republik von $REGION$;;;;;;;;;;;
D04_ADJ;$REGION$;;republikanisch;;;;;;;;;;;
D05;$REGION$ Free State;;Der $REGION$-Staat;;;;;;;;;;;
D05_ADJ;$REGION$;;staatlich;;;;;;;;;;;
D06;$REGION$;;Die Volksrepublik von $REGION$;;;;;;;;;;;
D06_ADJ;$REGION$;;republikanisch;;;;;;;;;;;
D07;The Free State of $REGION$;;Der Freistaat von $REGION$;;;;;;;;;;;
D07_ADJ;$REGION$;;freistaatlich;;;;;;;;;;;
D08;$REGION$;;Der Groﬂstaat von $REGION$;;;;;;;;;;;
D08_ADJ;$REGION$;;groﬂstaatlich;;;;;;;;;;;
D09;$REGION$;;Der Staat von $REGION$;;;;;;;;;;;
D09_ADJ;$REGION$;;staatlich;;;;;;;;;;;
D10;$REGION$;;Das F¸rstentum von $REGION$;;;;;;;;;;;
D10_ADJ;$REGION$;;f¸rstlich;;;;;;;;;;;
D11;$REGION$;;Die Demokratische Republik von $REGION$;;;;;;;;;;;
D11_ADJ;$REGION$;;depublikanisch;;;;;;;;;;;
D12;The $REGION$ Union;;Die $REGION$-Union;;;;;;;;;;;
D12_ADJ;$REGION$;;Unions-;;;;;;;;;;;
D13;$REGION$;;Das $REGION$-Kˆnigreich;;;;;;;;;;;
D13_ADJ;$REGION$;;kˆnigstreu;;;;;;;;;;;
D14;The Dominion of $REGION$;;Das Dominion von $REGION$;;;;;;;;;;;
D14_ADJ;Dominion;;Dominions-;;;;;;;;;;;
D15;$REGION$;;Das Groﬂherzogtum von $REGION$;;;;;;;;;;;
D15_ADJ;$REGION$;;groﬂherzogstreu;;;;;;;;;;;
