Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AOEEventTest_desc;Triggers a event menu with all events developed by me (Bob Bobington).;;;;;;;;;;;;;
AOEDynamicDebugEvent_title;Dynamic Debugger;;;;;;;;;;;;;
AOEDynamicDebugEvent_desc;Use Debugger.;;;;;;;;;;;;;
AOEDynamicDebugEventPositive_title;Debug Test Positive;;;;;;;;;;;;;
AOEDynamicDebugEventPositive_desc;Return Positive. Take descision to acknowledge and hide or chain this event.;;;;;;;;;;;;;
EVTNAME1920000000;CheatPack & Age of Enlightenment Event Test Event;;;;;;;;;;;;;
EVTDESC1920000000;All events created by me (Bob Bobington) can be launched from below.;;;;;;;;;;;;;
EVT1920000000OPTA;Fire Napoleon Creation Event;;;;;;;;;;;;;
EVT1920000000OPTB;Fire Napoleon Resepawn Event;;;;;;;;;;;;;
EVTNAME1930000000;A Promising New General...;;;;;;;;;;;;;
EVTDESC1930000000;A new general, from the French army of Italy, has conquered great swarths of the Italian peninsular. All thoughout France a heros name can be heard thoughtout the streets. France cries out for Napoleon!;;;;;;;;;;;;;
EVT1930000000OPTA;Fire Napoleon Creation Event;;;;;;;;;;;;;
EVTNAME1930000001;Napoleon Returns!;;;;;;;;;;;;;
EVTDESC1930000001;Following the loss of Napoleon's army, Our emperor has escaped certain death to continue to lead the great French State!;;;;;;;;;;;;;
EVT1930000001OPTA;We are glad he has survived.;;;;;;;;;;;;;
